Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7039.00000000	7029.00000000
0.00150000	2790.00000000	2782.00000000
0.00200000	1401.00000000	1393.00000000
0.00300000	513.60000000	507.30000000
0.00335110	388.70000000	382.70000000
0.00335110	1274.00000000	1223.00000000
0.00343632	1200.00000000	1151.00000000
0.00352370	1126.00000000	1082.00000000
0.00352370	1547.00000000	1479.00000000
0.00366203	1409.00000000	1348.00000000
0.00380580	1282.00000000	1229.00000000
0.00380580	1468.00000000	1406.00000000
0.00400000	1305.00000000	1252.00000000
0.00500000	738.50000000	712.20000000
0.00600000	461.00000000	445.70000000
0.00800000	216.40000000	209.20000000
0.01000000	119.30000000	114.90000000
0.01500000	39.98000000	37.80000000
0.02000000	18.36000000	16.95000000
0.02551400	9.52700000	8.53400000
0.02551400	55.39000000	20.31000000
0.03000000	36.68000000	16.60000000
0.04000000	17.20000000	9.86900000
0.05000000	9.44400000	6.06600000
0.06000000	5.76600000	3.93800000
0.08000000	2.65100000	1.90700000
0.10000000	1.47000000	1.06200000
0.15000000	0.54260000	0.36220000
0.20000000	0.29720000	0.17510000
0.30000000	0.15600000	0.07392000
0.40000000	0.11310000	0.04803000
0.50000000	0.09321000	0.03822000
0.60000000	0.08153000	0.03347000
0.80000000	0.06766000	0.02881000
1.00000000	0.05921000	0.02632000
1.25000000	0.05217000	0.02425000
1.50000000	0.04754000	0.02284000
2.00000000	0.04209000	0.02135000
3.00000000	0.03754000	0.02082000
4.00000000	0.03606000	0.02142000
5.00000000	0.03577000	0.02232000
6.00000000	0.03601000	0.02324000
8.00000000	0.03723000	0.02499000
10.00000000	0.03882000	0.02647000
15.00000000	0.04276000	0.02889000
20.00000000	0.04609000	0.03005000
