Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5868.00000000	5854.00000000
0.00102078	5651.00000000	5637.00000000
0.00104200	5435.00000000	5420.00000000
0.00104200	5551.00000000	5537.00000000
0.00150000	2731.00000000	2717.00000000
0.00200000	1495.00000000	1482.00000000
0.00278670	722.50000000	711.20000000
0.00278670	2431.00000000	2355.00000000
0.00284705	1928.00000000	1869.00000000
0.00290870	1686.00000000	1638.00000000
0.00290870	2763.00000000	2671.00000000
0.00300000	2250.00000000	2178.00000000
0.00342600	1614.00000000	1566.00000000
0.00342600	1866.00000000	1811.00000000
0.00400000	1275.00000000	1240.00000000
0.00400800	1269.00000000	1233.00000000
0.00400800	1345.00000000	1308.00000000
0.00415963	1234.00000000	1196.00000000
0.00431700	1126.00000000	1095.00000000
0.00431700	1175.00000000	1142.00000000
0.00500000	825.10000000	802.50000000
0.00600000	529.90000000	514.60000000
0.00800000	260.10000000	250.90000000
0.01000000	149.00000000	142.30000000
0.01421350	61.62000000	57.38000000
0.01421350	146.10000000	114.00000000
0.01500000	127.90000000	100.80000000
0.01678470	94.17000000	75.76000000
0.01678470	130.20000000	96.70000000
0.01713520	133.80000000	92.64000000
0.01749300	118.10000000	88.47000000
0.01749300	136.00000000	101.00000000
0.02000000	97.04000000	74.46000000
0.03000000	34.42000000	28.12000000
0.04000000	16.38000000	13.61000000
0.05000000	9.19600000	7.63700000
0.06000000	5.74800000	4.72900000
0.08000000	2.76900000	2.20000000
0.09572990	1.77700000	1.36100000
0.09572990	6.89500000	1.93500000
0.10000000	6.17400000	1.89700000
0.15000000	2.24900000	1.11200000
0.20000000	1.11800000	0.63690000
0.30000000	0.44910000	0.27180000
0.40000000	0.25650000	0.15220000
0.50000000	0.17650000	0.10120000
0.60000000	0.13540000	0.07517000
0.80000000	0.09495000	0.05055000
1.00000000	0.07538000	0.03934000
1.25000000	0.06189000	0.03181000
1.50000000	0.05479000	0.02791000
2.00000000	0.04821000	0.02478000
3.00000000	0.04424000	0.02427000
4.00000000	0.04383000	0.02556000
5.00000000	0.04461000	0.02710000
6.00000000	0.04585000	0.02859000
8.00000000	0.04883000	0.03113000
10.00000000	0.05195000	0.03311000
15.00000000	0.05918000	0.03619000
20.00000000	0.06493000	0.03739000
