Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4652.00000000	4639.00000000
0.00150000	2089.00000000	2076.00000000
0.00200000	1137.00000000	1125.00000000
0.00220570	918.70000000	907.40000000
0.00220570	997.10000000	983.60000000
0.00224799	1386.00000000	1360.00000000
0.00229110	2258.00000000	2208.00000000
0.00229110	2389.00000000	2336.00000000
0.00250689	2380.00000000	2325.00000000
0.00274300	2203.00000000	2154.00000000
0.00274300	2541.00000000	2484.00000000
0.00300000	2049.00000000	2005.00000000
0.00314780	1822.00000000	1783.00000000
0.00314780	1933.00000000	1892.00000000
0.00328343	1748.00000000	1710.00000000
0.00342490	1585.00000000	1552.00000000
0.00342490	1652.00000000	1618.00000000
0.00400000	1144.00000000	1120.00000000
0.00500000	666.10000000	651.20000000
0.00600000	425.30000000	414.30000000
0.00800000	207.20000000	199.90000000
0.01000000	118.10000000	112.60000000
0.01191870	75.82000000	71.29000000
0.01191870	187.00000000	152.10000000
0.01279400	154.60000000	127.20000000
0.01373360	128.30000000	106.60000000
0.01373360	176.40000000	137.90000000
0.01403980	176.60000000	131.70000000
0.01435280	158.80000000	125.20000000
0.01435280	183.00000000	143.20000000
0.01500000	163.70000000	129.40000000
0.02000000	78.83000000	65.22000000
0.03000000	27.52000000	23.49000000
0.04000000	12.98000000	11.09000000
0.05000000	7.25600000	6.12400000
0.06000000	4.52800000	3.75100000
0.08000000	2.18500000	1.72000000
0.08072490	2.13700000	1.67800000
0.08072490	8.90400000	2.51200000
0.10000000	5.15800000	2.07400000
0.15000000	1.86000000	1.02600000
0.20000000	0.92140000	0.55630000
0.30000000	0.37440000	0.22890000
0.40000000	0.21800000	0.12740000
0.50000000	0.15300000	0.08523000
0.60000000	0.11940000	0.06409000
0.80000000	0.08603000	0.04427000
1.00000000	0.06953000	0.03525000
1.25000000	0.05794000	0.02915000
1.50000000	0.05167000	0.02593000
2.00000000	0.04570000	0.02333000
3.00000000	0.04201000	0.02302000
4.00000000	0.04166000	0.02432000
5.00000000	0.04239000	0.02582000
6.00000000	0.04355000	0.02725000
8.00000000	0.04633000	0.02968000
10.00000000	0.04926000	0.03159000
15.00000000	0.05598000	0.03450000
20.00000000	0.06136000	0.03565000
