Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	8543.00000000	8521.00000000
0.00103063	7990.00000000	7969.00000000
0.00106220	7465.00000000	7445.00000000
0.00106220	8547.00000000	8524.00000000
0.00109882	7957.00000000	7935.00000000
0.00113670	7404.00000000	7384.00000000
0.00113670	7837.00000000	7815.00000000
0.00121224	6861.00000000	6841.00000000
0.00129280	5985.00000000	5968.00000000
0.00129280	6255.00000000	6237.00000000
0.00150000	4499.00000000	4485.00000000
0.00200000	2319.00000000	2308.00000000
0.00300000	869.60000000	862.20000000
0.00400000	424.60000000	418.40000000
0.00500000	241.40000000	236.10000000
0.00524700	213.50000000	208.40000000
0.00524700	609.80000000	568.90000000
0.00543204	563.40000000	526.30000000
0.00562360	516.90000000	483.50000000
0.00562360	701.60000000	648.60000000
0.00580333	650.70000000	602.50000000
0.00598880	601.30000000	557.70000000
0.00598880	693.00000000	641.20000000
0.00600000	689.80000000	638.30000000
0.00800000	333.40000000	312.70000000
0.01000000	186.00000000	175.40000000
0.01500000	63.47000000	59.72000000
0.02000000	29.38000000	27.30000000
0.03000000	9.90400000	8.87500000
0.03744060	5.49800000	4.76800000
0.03744060	29.19000000	9.34600000
0.04000000	24.57000000	8.84200000
0.05000000	13.79000000	6.53400000
0.06000000	8.51100000	4.66000000
0.08000000	3.96300000	2.50100000
0.10000000	2.19600000	1.47000000
0.15000000	0.78280000	0.53090000
0.20000000	0.40460000	0.25830000
0.30000000	0.18910000	0.10280000
0.40000000	0.12650000	0.06125000
0.50000000	0.09923000	0.04521000
0.60000000	0.08410000	0.03743000
0.80000000	0.06744000	0.03011000
1.00000000	0.05803000	0.02657000
1.25000000	0.05058000	0.02388000
1.50000000	0.04592000	0.02224000
2.00000000	0.04078000	0.02069000
3.00000000	0.03692000	0.02044000
4.00000000	0.03598000	0.02135000
5.00000000	0.03612000	0.02250000
6.00000000	0.03669000	0.02363000
8.00000000	0.03844000	0.02566000
10.00000000	0.04042000	0.02731000
15.00000000	0.04518000	0.03003000
20.00000000	0.04902000	0.03126000
