Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	604.10000000	603.50000000
0.00150000	179.70000000	179.10000000
0.00200000	74.69000000	74.22000000
0.00300000	21.27000000	20.90000000
0.00400000	8.68500000	8.36700000
0.00500000	4.36900000	4.08100000
0.00600000	2.52700000	2.26000000
0.00800000	1.12400000	0.88390000
0.01000000	0.64660000	0.42550000
0.01500000	0.30700000	0.11430000
0.02000000	0.22510000	0.04780000
0.03000000	0.17920000	0.01898000
0.04000000	0.16400000	0.01438000
0.05000000	0.15540000	0.01401000
0.06000000	0.14930000	0.01468000
0.08000000	0.14010000	0.01658000
0.10000000	0.13280000	0.01836000
0.15000000	0.11900000	0.02157000
0.20000000	0.10890000	0.02353000
0.30000000	0.09463000	0.02548000
0.40000000	0.08471000	0.02620000
0.50000000	0.07739000	0.02639000
0.60000000	0.07155000	0.02627000
0.80000000	0.06286000	0.02565000
1.00000000	0.05652000	0.02483000
1.25000000	0.05054000	0.02373000
1.50000000	0.04597000	0.02268000
2.00000000	0.03938000	0.02083000
3.00000000	0.03138000	0.01806000
4.00000000	0.02664000	0.01617000
5.00000000	0.02347000	0.01479000
6.00000000	0.02121000	0.01377000
8.00000000	0.01819000	0.01233000
10.00000000	0.01627000	0.01138000
15.00000000	0.01361000	0.01001000
20.00000000	0.01227000	0.00929400
