Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5441.00000000	5427.00000000
0.00150000	2468.00000000	2455.00000000
0.00200000	1348.00000000	1336.00000000
0.00257960	772.40000000	761.20000000
0.00257960	1777.00000000	1731.00000000
0.00263305	1850.00000000	1799.00000000
0.00268760	1852.00000000	1802.00000000
0.00268760	2576.00000000	2500.00000000
0.00300000	2053.00000000	1996.00000000
0.00317690	1774.00000000	1725.00000000
0.00317690	2048.00000000	1992.00000000
0.00342677	1707.00000000	1659.00000000
0.00369630	1415.00000000	1378.00000000
0.00369630	1498.00000000	1460.00000000
0.00384472	1366.00000000	1329.00000000
0.00399910	1243.00000000	1211.00000000
0.00399910	1297.00000000	1264.00000000
0.00400000	1296.00000000	1263.00000000
0.00500000	758.00000000	738.60000000
0.00600000	485.50000000	472.10000000
0.00800000	237.80000000	229.50000000
0.01000000	136.00000000	129.80000000
0.01341860	64.91000000	60.64000000
0.01341860	156.00000000	123.40000000
0.01500000	116.00000000	93.58000000
0.01571110	102.70000000	83.46000000
0.01571110	141.60000000	106.90000000
0.01604570	135.10000000	102.40000000
0.01638750	128.20000000	97.69000000
0.01638750	147.80000000	111.60000000
0.02000000	89.52000000	70.60000000
0.03000000	31.52000000	26.17000000
0.04000000	14.95000000	12.55000000
0.05000000	8.37900000	7.00400000
0.06000000	5.23300000	4.32000000
0.08000000	2.52200000	1.99900000
0.09052590	1.85600000	1.43400000
0.09052590	7.38000000	2.07300000
0.10000000	5.73900000	1.95100000
0.15000000	2.08200000	1.07100000
0.20000000	1.03300000	0.60140000
0.30000000	0.41630000	0.25320000
0.40000000	0.23910000	0.14140000
0.50000000	0.16560000	0.09411000
0.60000000	0.12770000	0.07017000
0.80000000	0.09036000	0.04758000
1.00000000	0.07214000	0.03730000
1.25000000	0.05955000	0.03039000
1.50000000	0.05285000	0.02678000
2.00000000	0.04659000	0.02389000
3.00000000	0.04279000	0.02347000
4.00000000	0.04242000	0.02475000
5.00000000	0.04317000	0.02626000
6.00000000	0.04437000	0.02772000
8.00000000	0.04725000	0.03020000
10.00000000	0.05025000	0.03213000
15.00000000	0.05721000	0.03514000
20.00000000	0.06276000	0.03632000
