Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2211.00000000	2209.00000000
0.00150000	700.20000000	699.00000000
0.00200000	302.60000000	301.60000000
0.00300000	90.33000000	89.63000000
0.00400000	37.78000000	37.23000000
0.00500000	19.12000000	18.66000000
0.00600000	10.95000000	10.54000000
0.00800000	4.57600000	4.24200000
0.01000000	2.37300000	2.07800000
0.01500000	0.80710000	0.56270000
0.02000000	0.44200000	0.22380000
0.03000000	0.25620000	0.06614000
0.04000000	0.20760000	0.03343000
0.05000000	0.18710000	0.02397000
0.06000000	0.17530000	0.02098000
0.08000000	0.16100000	0.02037000
0.10000000	0.15140000	0.02147000
0.15000000	0.13470000	0.02449000
0.20000000	0.12290000	0.02655000
0.30000000	0.10660000	0.02870000
0.40000000	0.09546000	0.02950000
0.50000000	0.08715000	0.02969000
0.60000000	0.08058000	0.02956000
0.80000000	0.07076000	0.02885000
1.00000000	0.06361000	0.02792000
1.25000000	0.05690000	0.02669000
1.50000000	0.05179000	0.02551000
2.00000000	0.04442000	0.02345000
3.00000000	0.03562000	0.02048000
4.00000000	0.03047000	0.01849000
5.00000000	0.02708000	0.01710000
6.00000000	0.02469000	0.01607000
8.00000000	0.02154000	0.01468000
10.00000000	0.01959000	0.01380000
15.00000000	0.01698000	0.01258000
20.00000000	0.01575000	0.01198000
