Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	10570.00000000	10490.00000000
0.00104695	9307.00000000	9241.00000000
0.00109610	8242.00000000	8186.00000000
0.00109610	9347.00000000	9282.00000000
0.00150000	4418.00000000	4393.00000000
0.00200000	2154.00000000	2142.00000000
0.00300000	748.80000000	743.00000000
0.00400000	347.30000000	343.20000000
0.00500000	189.90000000	186.60000000
0.00600000	115.60000000	112.80000000
0.00800000	52.55000000	50.54000000
0.00897890	38.29000000	36.52000000
0.00897890	278.40000000	182.40000000
0.01000000	215.90000000	148.40000000
0.01500000	74.05000000	57.88000000
0.02000000	33.79000000	27.88000000
0.03000000	10.92000000	9.34900000
0.04000000	4.86200000	4.16300000
0.05000000	2.61300000	2.19200000
0.06000000	1.59300000	1.29000000
0.08000000	0.76300000	0.55810000
0.10000000	0.45840000	0.29490000
0.15000000	0.22170000	0.10270000
0.20000000	0.15590000	0.05781000
0.30000000	0.11190000	0.03617000
0.40000000	0.09413000	0.03121000
0.50000000	0.08362000	0.02933000
0.60000000	0.07625000	0.02826000
0.80000000	0.06605000	0.02681000
1.00000000	0.05901000	0.02562000
1.25000000	0.05261000	0.02428000
1.50000000	0.04803000	0.02316000
2.00000000	0.04205000	0.02160000
3.00000000	0.03599000	0.02023000
4.00000000	0.03318000	0.01989000
5.00000000	0.03177000	0.01998000
6.00000000	0.03108000	0.02027000
8.00000000	0.03074000	0.02100000
10.00000000	0.03103000	0.02174000
15.00000000	0.03247000	0.02309000
20.00000000	0.03408000	0.02387000
