Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2216.00000000	2206.00000000
0.00106344	1978.00000000	1968.00000000
0.00113090	1763.00000000	1753.00000000
0.00113090	2443.00000000	2428.00000000
0.00114565	3617.00000000	3595.00000000
0.00116060	5416.00000000	5382.00000000
0.00116060	6540.00000000	6498.00000000
0.00131087	6291.00000000	6253.00000000
0.00148060	5031.00000000	5001.00000000
0.00148060	5810.00000000	5774.00000000
0.00150000	5624.00000000	5590.00000000
0.00161390	4771.00000000	4742.00000000
0.00161390	5064.00000000	5034.00000000
0.00170441	4492.00000000	4465.00000000
0.00180000	3980.00000000	3955.00000000
0.00180000	4158.00000000	4132.00000000
0.00200000	3278.00000000	3258.00000000
0.00300000	1256.00000000	1245.00000000
0.00400000	619.30000000	611.10000000
0.00500000	354.20000000	347.40000000
0.00600000	223.40000000	217.50000000
0.00697690	152.20000000	147.10000000
0.00697690	412.70000000	372.50000000
0.00728997	369.60000000	334.60000000
0.00761710	330.20000000	299.80000000
0.00761710	449.20000000	399.30000000
0.00800000	398.90000000	356.00000000
0.00805200	392.10000000	350.20000000
0.00805200	452.40000000	402.40000000
0.01000000	262.90000000	237.80000000
0.01500000	90.87000000	83.52000000
0.02000000	42.42000000	38.95000000
0.03000000	14.41000000	12.95000000
0.04000000	6.71600000	5.84800000
0.04851900	4.05100000	3.41400000
0.04851900	20.01000000	6.03600000
0.05000000	18.50000000	5.92700000
0.06000000	11.55000000	4.86300000
0.08000000	5.45500000	2.95300000
0.10000000	3.04000000	1.84100000
0.15000000	1.07600000	0.70880000
0.20000000	0.54250000	0.35180000
0.30000000	0.23800000	0.13850000
0.40000000	0.15090000	0.07927000
0.50000000	0.11390000	0.05598000
0.60000000	0.09404000	0.04462000
0.80000000	0.07312000	0.03406000
1.00000000	0.06186000	0.02912000
1.25000000	0.05331000	0.02557000
1.50000000	0.04822000	0.02353000
2.00000000	0.04285000	0.02173000
3.00000000	0.03913000	0.02158000
4.00000000	0.03845000	0.02269000
5.00000000	0.03885000	0.02404000
6.00000000	0.03967000	0.02532000
8.00000000	0.04185000	0.02758000
10.00000000	0.04422000	0.02938000
15.00000000	0.04980000	0.03228000
20.00000000	0.05423000	0.03351000
