Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9085.00000000	9052.00000000
0.00150000	3399.00000000	3388.00000000
0.00200000	1626.00000000	1620.00000000
0.00300000	557.60000000	553.50000000
0.00400000	256.70000000	253.60000000
0.00500000	139.80000000	137.20000000
0.00600000	84.84000000	82.65000000
0.00711200	53.19000000	51.33000000
0.00711200	407.60000000	297.80000000
0.00800000	305.60000000	231.60000000
0.01000000	170.60000000	136.90000000
0.01500000	57.08000000	48.96000000
0.02000000	25.68000000	22.60000000
0.03000000	8.17600000	7.25100000
0.04000000	3.62900000	3.15500000
0.05000000	1.95800000	1.63800000
0.06000000	1.20500000	0.95550000
0.08000000	0.59520000	0.41040000
0.10000000	0.37170000	0.21770000
0.15000000	0.19640000	0.07961000
0.20000000	0.14600000	0.04825000
0.30000000	0.10990000	0.03361000
0.40000000	0.09400000	0.03039000
0.50000000	0.08414000	0.02914000
0.60000000	0.07704000	0.02836000
0.80000000	0.06699000	0.02714000
1.00000000	0.05995000	0.02603000
1.25000000	0.05350000	0.02472000
1.50000000	0.04883000	0.02360000
2.00000000	0.04265000	0.02199000
3.00000000	0.03621000	0.02042000
4.00000000	0.03312000	0.01990000
5.00000000	0.03146000	0.01983000
6.00000000	0.03057000	0.01997000
8.00000000	0.02991000	0.02050000
10.00000000	0.02994000	0.02108000
15.00000000	0.03092000	0.02221000
20.00000000	0.03224000	0.02292000
