Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6238.00000000	6224.00000000
0.00107378	5356.00000000	5342.00000000
0.00115300	4673.00000000	4659.00000000
0.00115300	4772.00000000	4758.00000000
0.00150000	2846.00000000	2833.00000000
0.00200000	1562.00000000	1549.00000000
0.00299990	641.40000000	630.60000000
0.00299990	1995.00000000	1929.00000000
0.00300000	1994.00000000	1928.00000000
0.00313620	1449.00000000	1405.00000000
0.00313620	2255.00000000	2175.00000000
0.00338938	1761.00000000	1700.00000000
0.00366300	1415.00000000	1370.00000000
0.00366300	1641.00000000	1588.00000000
0.00400000	1322.00000000	1281.00000000
0.00432700	1086.00000000	1053.00000000
0.00432700	1153.00000000	1118.00000000
0.00448656	1059.00000000	1023.00000000
0.00465200	966.60000000	937.70000000
0.00465200	1008.00000000	978.00000000
0.00500000	848.90000000	823.80000000
0.00600000	545.10000000	528.50000000
0.00800000	268.40000000	258.80000000
0.01000000	153.90000000	147.10000000
0.01500000	55.73000000	51.74000000
0.01503120	55.44000000	51.46000000
0.01503120	130.40000000	100.30000000
0.01640600	103.10000000	80.86000000
0.01790650	81.84000000	65.21000000
0.01790650	113.70000000	82.99000000
0.01826910	117.90000000	79.47000000
0.01863900	103.10000000	76.02000000
0.01863900	118.70000000	86.66000000
0.02000000	99.33000000	73.95000000
0.03000000	35.50000000	28.49000000
0.04000000	16.94000000	13.91000000
0.05000000	9.52500000	7.85100000
0.06000000	5.95900000	4.88100000
0.08000000	2.87100000	2.28300000
0.10000000	1.65500000	1.26100000
0.10113700	1.61000000	1.22400000
0.10113700	6.08900000	1.71000000
0.15000000	2.29500000	1.08700000
0.20000000	1.14100000	0.63510000
0.30000000	0.45770000	0.27500000
0.40000000	0.26010000	0.15420000
0.50000000	0.17800000	0.10250000
0.60000000	0.13580000	0.07597000
0.80000000	0.09444000	0.05067000
1.00000000	0.07450000	0.03920000
1.25000000	0.06087000	0.03151000
1.50000000	0.05376000	0.02752000
2.00000000	0.04721000	0.02432000
3.00000000	0.04324000	0.02372000
4.00000000	0.04283000	0.02495000
5.00000000	0.04358000	0.02644000
6.00000000	0.04479000	0.02788000
8.00000000	0.04769000	0.03033000
10.00000000	0.05077000	0.03227000
15.00000000	0.05786000	0.03525000
20.00000000	0.06350000	0.03641000
