Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2291.00000000	2281.00000000
0.00108867	1960.00000000	1949.00000000
0.00118520	1668.00000000	1658.00000000
0.00118520	1931.00000000	1919.00000000
0.00120109	2527.00000000	2510.00000000
0.00121720	3961.00000000	3934.00000000
0.00121720	4764.00000000	4731.00000000
0.00150000	5041.00000000	5008.00000000
0.00154400	4701.00000000	4670.00000000
0.00154400	5432.00000000	5395.00000000
0.00161454	4900.00000000	4867.00000000
0.00168830	4421.00000000	4391.00000000
0.00168830	4694.00000000	4662.00000000
0.00178195	4164.00000000	4136.00000000
0.00188080	3691.00000000	3666.00000000
0.00188080	3854.00000000	3829.00000000
0.00200000	3360.00000000	3337.00000000
0.00300000	1292.00000000	1280.00000000
0.00400000	638.00000000	629.60000000
0.00500000	365.30000000	358.40000000
0.00600000	230.50000000	224.60000000
0.00724280	142.90000000	137.90000000
0.00724280	384.40000000	345.20000000
0.00757876	342.70000000	308.80000000
0.00793030	304.90000000	275.50000000
0.00793030	414.90000000	366.50000000
0.00800000	406.80000000	359.50000000
0.00837560	363.10000000	322.30000000
0.00837560	419.00000000	370.20000000
0.01000000	269.30000000	241.60000000
0.01500000	93.35000000	85.38000000
0.02000000	43.63000000	39.94000000
0.03000000	14.84000000	13.33000000
0.04000000	6.92000000	6.03300000
0.05000000	3.85900000	3.24200000
0.05023910	3.81200000	3.19900000
0.05023910	18.64000000	5.58500000
0.06000000	11.75000000	4.72200000
0.08000000	5.57300000	2.93700000
0.10000000	3.10900000	1.84900000
0.15000000	1.10000000	0.71970000
0.20000000	0.55340000	0.35840000
0.30000000	0.24100000	0.14090000
0.40000000	0.15170000	0.08039000
0.50000000	0.11390000	0.05650000
0.60000000	0.09371000	0.04483000
0.80000000	0.07252000	0.03399000
1.00000000	0.06120000	0.02893000
1.25000000	0.05262000	0.02530000
1.50000000	0.04759000	0.02325000
2.00000000	0.04228000	0.02144000
3.00000000	0.03865000	0.02129000
4.00000000	0.03802000	0.02241000
5.00000000	0.03844000	0.02374000
6.00000000	0.03928000	0.02502000
8.00000000	0.04147000	0.02725000
10.00000000	0.04384000	0.02902000
15.00000000	0.04943000	0.03188000
20.00000000	0.05385000	0.03306000
