Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7.21700000	6.82000000
0.00150000	2.14800000	1.75200000
0.00200000	1.05900000	0.66430000
0.00300000	0.56120000	0.16930000
0.00400000	0.45460000	0.06549000
0.00500000	0.41930000	0.03278000
0.00600000	0.40420000	0.01996000
0.00800000	0.39140000	0.01160000
0.01000000	0.38540000	0.00984900
0.01500000	0.37640000	0.01102000
0.02000000	0.36950000	0.01355000
0.03000000	0.35700000	0.01863000
0.04000000	0.34580000	0.02315000
0.05000000	0.33550000	0.02709000
0.06000000	0.32600000	0.03053000
0.08000000	0.30910000	0.03620000
0.10000000	0.29440000	0.04063000
0.15000000	0.26510000	0.04813000
0.20000000	0.24290000	0.05254000
0.30000000	0.21120000	0.05695000
0.40000000	0.18930000	0.05860000
0.50000000	0.17290000	0.05900000
0.60000000	0.15990000	0.05875000
0.80000000	0.14050000	0.05739000
1.00000000	0.12630000	0.05556000
1.25000000	0.11290000	0.05311000
1.50000000	0.10270000	0.05075000
2.00000000	0.08769000	0.04650000
3.00000000	0.06921000	0.03992000
4.00000000	0.05806000	0.03523000
5.00000000	0.05049000	0.03174000
6.00000000	0.04498000	0.02905000
8.00000000	0.03746000	0.02515000
10.00000000	0.03254000	0.02247000
15.00000000	0.02539000	0.01837000
20.00000000	0.02153000	0.01606000
