Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3335.00000000	3324.00000000
0.00150000	1489.00000000	1478.00000000
0.00166170	1203.00000000	1192.00000000
0.00166170	1505.00000000	1489.00000000
0.00168883	2189.00000000	2160.00000000
0.00171640	3273.00000000	3225.00000000
0.00171640	3682.00000000	3628.00000000
0.00200000	3598.00000000	3546.00000000
0.00210760	3152.00000000	3108.00000000
0.00210760	3659.00000000	3607.00000000
0.00223278	3182.00000000	3137.00000000
0.00236540	2769.00000000	2731.00000000
0.00236540	2943.00000000	2903.00000000
0.00248036	2637.00000000	2601.00000000
0.00260090	2363.00000000	2331.00000000
0.00260090	2465.00000000	2432.00000000
0.00300000	1768.00000000	1745.00000000
0.00400000	885.90000000	872.00000000
0.00500000	511.30000000	501.30000000
0.00600000	324.40000000	316.40000000
0.00800000	157.10000000	151.20000000
0.00956070	99.97000000	95.10000000
0.00956070	255.70000000	218.40000000
0.01000000	230.10000000	197.50000000
0.01073940	189.40000000	163.90000000
0.01073940	258.90000000	215.10000000
0.01100180	252.20000000	204.20000000
0.01127070	230.60000000	192.80000000
0.01127070	265.90000000	221.20000000
0.01500000	129.00000000	111.10000000
0.02000000	60.87000000	53.53000000
0.03000000	20.98000000	18.51000000
0.04000000	9.82800000	8.54200000
0.05000000	5.47800000	4.65100000
0.06000000	3.42000000	2.82000000
0.06535080	2.75100000	2.22800000
0.06535080	12.37000000	3.55700000
0.08000000	7.35200000	2.95800000
0.10000000	4.15400000	2.07500000
0.15000000	1.47700000	0.89730000
0.20000000	0.73390000	0.46450000
0.30000000	0.30540000	0.18530000
0.40000000	0.18340000	0.10350000
0.50000000	0.13240000	0.07044000
0.60000000	0.10580000	0.05409000
0.80000000	0.07880000	0.03886000
1.00000000	0.06502000	0.03188000
1.25000000	0.05505000	0.02708000
1.50000000	0.04944000	0.02447000
2.00000000	0.04387000	0.02230000
3.00000000	0.04030000	0.02212000
4.00000000	0.03989000	0.02338000
5.00000000	0.04052000	0.02483000
6.00000000	0.04155000	0.02620000
8.00000000	0.04409000	0.02855000
10.00000000	0.04677000	0.03040000
15.00000000	0.05301000	0.03330000
20.00000000	0.05796000	0.03445000
