Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2616.00000000	2605.00000000
0.00116250	1961.00000000	1951.00000000
0.00135140	1462.00000000	1452.00000000
0.00135140	2108.00000000	2091.00000000
0.00137130	3193.00000000	3164.00000000
0.00139150	4528.00000000	4485.00000000
0.00139150	5239.00000000	5187.00000000
0.00150000	5847.00000000	5790.00000000
0.00174120	4038.00000000	4001.00000000
0.00174120	4677.00000000	4633.00000000
0.00182975	4161.00000000	4122.00000000
0.00192280	3703.00000000	3669.00000000
0.00192280	3934.00000000	3898.00000000
0.00200000	3590.00000000	3558.00000000
0.00212830	3127.00000000	3099.00000000
0.00212830	3266.00000000	3236.00000000
0.00300000	1465.00000000	1450.00000000
0.00400000	726.40000000	716.40000000
0.00500000	417.00000000	409.10000000
0.00600000	263.60000000	257.00000000
0.00800000	127.10000000	122.00000000
0.00807110	124.20000000	119.20000000
0.00807110	328.30000000	289.70000000
0.00848389	288.90000000	256.00000000
0.00891780	254.00000000	226.00000000
0.00891780	346.30000000	299.40000000
0.00915290	325.90000000	282.50000000
0.00939420	305.10000000	265.20000000
0.00939420	352.00000000	304.40000000
0.01000000	301.20000000	262.30000000
0.01500000	106.00000000	95.21000000
0.02000000	49.80000000	45.04000000
0.03000000	17.01000000	15.21000000
0.04000000	7.94000000	6.92800000
0.05000000	4.42500000	3.74000000
0.05561770	3.36100000	2.78300000
0.05561770	15.92000000	4.69700000
0.06000000	13.09000000	4.46600000
0.08000000	6.24400000	3.01500000
0.10000000	3.49200000	1.96100000
0.15000000	1.23600000	0.79010000
0.20000000	0.61780000	0.39840000
0.30000000	0.26390000	0.15700000
0.40000000	0.16290000	0.08869000
0.50000000	0.12050000	0.06145000
0.60000000	0.09800000	0.04811000
0.80000000	0.07477000	0.03571000
1.00000000	0.06257000	0.02997000
1.25000000	0.05351000	0.02593000
1.50000000	0.04828000	0.02369000
2.00000000	0.04289000	0.02175000
3.00000000	0.03930000	0.02161000
4.00000000	0.03877000	0.02279000
5.00000000	0.03927000	0.02417000
6.00000000	0.04020000	0.02549000
8.00000000	0.04253000	0.02777000
10.00000000	0.04504000	0.02958000
15.00000000	0.05088000	0.03245000
20.00000000	0.05551000	0.03363000
