Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9096.00000000	9078.00000000
0.00103542	8465.00000000	8448.00000000
0.00107210	7863.00000000	7847.00000000
0.00107210	8198.00000000	8181.00000000
0.00150000	3919.00000000	3908.00000000
0.00200000	1997.00000000	1988.00000000
0.00300000	742.00000000	735.10000000
0.00400000	360.70000000	354.80000000
0.00455710	259.20000000	253.70000000
0.00455710	755.00000000	712.10000000
0.00470229	712.30000000	672.40000000
0.00485210	663.60000000	627.00000000
0.00485210	894.30000000	837.50000000
0.00500000	843.00000000	790.30000000
0.00518810	766.50000000	719.80000000
0.00518810	883.70000000	828.30000000
0.00600000	617.30000000	582.20000000
0.00800000	292.20000000	277.70000000
0.01000000	162.60000000	154.80000000
0.01500000	55.12000000	52.08000000
0.02000000	25.43000000	23.63000000
0.03000000	8.56100000	7.62200000
0.03316940	6.55300000	5.74400000
0.03316940	35.82000000	11.88000000
0.04000000	22.10000000	9.61600000
0.05000000	12.32000000	6.57300000
0.06000000	7.57900000	4.51800000
0.08000000	3.51000000	2.33100000
0.10000000	1.94200000	1.34200000
0.15000000	0.69780000	0.47420000
0.20000000	0.36630000	0.22950000
0.30000000	0.17710000	0.09257000
0.40000000	0.12170000	0.05650000
0.50000000	0.09701000	0.04267000
0.60000000	0.08313000	0.03598000
0.80000000	0.06749000	0.02962000
1.00000000	0.05841000	0.02646000
1.25000000	0.05111000	0.02399000
1.50000000	0.04647000	0.02243000
2.00000000	0.04124000	0.02092000
3.00000000	0.03716000	0.02059000
4.00000000	0.03607000	0.02142000
5.00000000	0.03608000	0.02250000
6.00000000	0.03655000	0.02357000
8.00000000	0.03815000	0.02553000
10.00000000	0.04002000	0.02714000
15.00000000	0.04455000	0.02980000
20.00000000	0.04823000	0.03101000
