Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4243.00000000	4230.00000000
0.00150000	1898.00000000	1886.00000000
0.00200000	1032.00000000	1021.00000000
0.00204040	988.20000000	977.10000000
0.00204040	1066.00000000	1053.00000000
0.00207790	1492.00000000	1466.00000000
0.00211610	2478.00000000	2429.00000000
0.00211610	2608.00000000	2556.00000000
0.00232326	2621.00000000	2566.00000000
0.00255070	2424.00000000	2376.00000000
0.00255070	2800.00000000	2744.00000000
0.00272382	2393.00000000	2345.00000000
0.00290870	2041.00000000	2002.00000000
0.00290870	2166.00000000	2125.00000000
0.00300000	2011.00000000	1973.00000000
0.00317370	1767.00000000	1734.00000000
0.00317370	1843.00000000	1809.00000000
0.00400000	1063.00000000	1043.00000000
0.00500000	617.80000000	604.70000000
0.00600000	393.50000000	383.70000000
0.00800000	191.40000000	184.60000000
0.01000000	109.00000000	103.80000000
0.01121540	81.55000000	76.95000000
0.01121540	203.80000000	168.10000000
0.01199280	170.20000000	141.80000000
0.01282410	142.60000000	119.90000000
0.01282410	195.90000000	155.90000000
0.01311790	193.30000000	148.60000000
0.01341850	175.60000000	140.90000000
0.01341850	202.50000000	161.30000000
0.01500000	153.00000000	124.40000000
0.02000000	73.17000000	61.79000000
0.03000000	25.46000000	21.98000000
0.04000000	11.99000000	10.30000000
0.05000000	6.69300000	5.66700000
0.06000000	4.17600000	3.46000000
0.07611100	2.28400000	1.81000000
0.07611100	9.72800000	2.75800000
0.08000000	8.58500000	2.69400000
0.10000000	4.85500000	2.09300000
0.15000000	1.74000000	0.99030000
0.20000000	0.86280000	0.52900000
0.30000000	0.35250000	0.21550000
0.40000000	0.20680000	0.11990000
0.50000000	0.14630000	0.08054000
0.60000000	0.11490000	0.06088000
0.80000000	0.08357000	0.04250000
1.00000000	0.06794000	0.03412000
1.25000000	0.05688000	0.02843000
1.50000000	0.05083000	0.02541000
2.00000000	0.04501000	0.02295000
3.00000000	0.04139000	0.02269000
4.00000000	0.04104000	0.02398000
5.00000000	0.04174000	0.02546000
6.00000000	0.04286000	0.02687000
8.00000000	0.04558000	0.02927000
10.00000000	0.04844000	0.03115000
15.00000000	0.05502000	0.03405000
20.00000000	0.06024000	0.03516000
