Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4058.00000000	4053.00000000
0.00150000	1418.00000000	1415.00000000
0.00200000	659.20000000	656.30000000
0.00300000	219.80000000	217.40000000
0.00360740	132.70000000	130.60000000
0.00360740	1201.00000000	1065.00000000
0.00400000	925.60000000	830.40000000
0.00500000	518.90000000	475.20000000
0.00600000	320.50000000	297.40000000
0.00800000	146.90000000	138.30000000
0.01000000	79.07000000	74.90000000
0.01500000	25.03000000	23.70000000
0.02000000	10.93000000	10.23000000
0.03000000	3.41300000	3.04500000
0.04000000	1.54100000	1.27200000
0.05000000	0.86790000	0.64540000
0.06000000	0.56780000	0.37300000
0.08000000	0.32510000	0.16280000
0.10000000	0.23450000	0.09161000
0.15000000	0.15820000	0.04346000
0.20000000	0.13190000	0.03378000
0.30000000	0.10800000	0.03015000
0.40000000	0.09495000	0.02959000
0.50000000	0.08600000	0.02929000
0.60000000	0.07922000	0.02895000
0.80000000	0.06929000	0.02807000
1.00000000	0.06216000	0.02707000
1.25000000	0.05556000	0.02581000
1.50000000	0.05068000	0.02467000
2.00000000	0.04399000	0.02290000
3.00000000	0.03666000	0.02084000
4.00000000	0.03282000	0.01985000
5.00000000	0.03054000	0.01935000
6.00000000	0.02915000	0.01914000
8.00000000	0.02766000	0.01910000
10.00000000	0.02704000	0.01928000
15.00000000	0.02687000	0.01983000
20.00000000	0.02737000	0.02029000
