Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2854.00000000	2848.00000000
0.00150000	1093.00000000	1087.00000000
0.00167490	836.10000000	830.50000000
0.00167490	3909.00000000	3842.00000000
0.00170085	3409.00000000	3352.00000000
0.00172720	3166.00000000	3114.00000000
0.00172720	4566.00000000	4484.00000000
0.00182152	4014.00000000	3945.00000000
0.00192100	3482.00000000	3425.00000000
0.00192100	3948.00000000	3882.00000000
0.00200000	3599.00000000	3541.00000000
0.00300000	1305.00000000	1288.00000000
0.00400000	618.60000000	610.10000000
0.00500000	342.50000000	337.10000000
0.00600000	210.10000000	206.00000000
0.00800000	96.51000000	93.71000000
0.01000000	52.57000000	50.44000000
0.01432560	19.71000000	18.36000000
0.01432560	131.30000000	66.04000000
0.01500000	116.80000000	61.12000000
0.02000000	55.48000000	35.09000000
0.03000000	18.54000000	13.65000000
0.04000000	8.38900000	6.53800000
0.05000000	4.52300000	3.59600000
0.06000000	2.73900000	2.17800000
0.08000000	1.26700000	0.97290000
0.10000000	0.72210000	0.51920000
0.15000000	0.29980000	0.17310000
0.20000000	0.18720000	0.08787000
0.30000000	0.11860000	0.04459000
0.40000000	0.09480000	0.03414000
0.50000000	0.08226000	0.03023000
0.60000000	0.07410000	0.02825000
0.80000000	0.06340000	0.02603000
1.00000000	0.05631000	0.02456000
1.25000000	0.05005000	0.02310000
1.50000000	0.04569000	0.02197000
2.00000000	0.04020000	0.02055000
3.00000000	0.03501000	0.01961000
4.00000000	0.03286000	0.01969000
5.00000000	0.03196000	0.02014000
6.00000000	0.03168000	0.02071000
8.00000000	0.03199000	0.02192000
10.00000000	0.03280000	0.02302000
15.00000000	0.03518000	0.02497000
20.00000000	0.03741000	0.02610000
