Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3187.00000000	3175.00000000
0.00150000	1424.00000000	1413.00000000
0.00158850	1264.00000000	1253.00000000
0.00158850	1597.00000000	1581.00000000
0.00161375	2302.00000000	2273.00000000
0.00163940	3442.00000000	3396.00000000
0.00163940	3935.00000000	3881.00000000
0.00200000	3452.00000000	3406.00000000
0.00202360	3352.00000000	3307.00000000
0.00202360	3890.00000000	3838.00000000
0.00214019	3397.00000000	3352.00000000
0.00226350	2969.00000000	2931.00000000
0.00226350	3155.00000000	3115.00000000
0.00237462	2826.00000000	2790.00000000
0.00249120	2531.00000000	2499.00000000
0.00249120	2640.00000000	2607.00000000
0.00300000	1710.00000000	1688.00000000
0.00400000	856.00000000	843.00000000
0.00500000	493.40000000	483.90000000
0.00600000	312.90000000	305.10000000
0.00800000	151.30000000	145.60000000
0.00924410	104.90000000	99.94000000
0.00924410	270.30000000	232.40000000
0.01000000	221.10000000	191.60000000
0.01034860	201.90000000	175.60000000
0.01034860	275.70000000	231.00000000
0.01060630	267.60000000	219.00000000
0.01087040	245.00000000	206.50000000
0.01087040	282.60000000	236.90000000
0.01500000	124.70000000	108.40000000
0.02000000	58.81000000	52.06000000
0.03000000	20.23000000	17.91000000
0.04000000	9.47200000	8.24200000
0.05000000	5.27900000	4.48000000
0.06000000	3.29700000	2.71200000
0.06331380	2.87400000	2.33900000
0.06331380	13.05000000	3.77000000
0.08000000	7.16100000	3.00000000
0.10000000	4.03300000	2.06700000
0.15000000	1.43300000	0.88050000
0.20000000	0.71300000	0.45340000
0.30000000	0.29810000	0.18030000
0.40000000	0.17990000	0.10090000
0.50000000	0.13050000	0.06886000
0.60000000	0.10460000	0.05306000
0.80000000	0.07829000	0.03836000
1.00000000	0.06478000	0.03161000
1.25000000	0.05496000	0.02695000
1.50000000	0.04941000	0.02441000
2.00000000	0.04385000	0.02228000
3.00000000	0.04028000	0.02212000
4.00000000	0.03985000	0.02337000
5.00000000	0.04045000	0.02481000
6.00000000	0.04147000	0.02618000
8.00000000	0.04398000	0.02853000
10.00000000	0.04664000	0.03038000
15.00000000	0.05282000	0.03329000
20.00000000	0.05773000	0.03446000
