Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	8093.00000000	8069.00000000
0.00150000	2984.00000000	2975.00000000
0.00200000	1421.00000000	1415.00000000
0.00300000	485.10000000	481.50000000
0.00400000	222.90000000	220.10000000
0.00500000	121.20000000	118.80000000
0.00600000	73.50000000	71.50000000
0.00653900	58.03000000	56.19000000
0.00653900	452.00000000	341.50000000
0.00800000	273.40000000	217.70000000
0.01000000	151.40000000	126.20000000
0.01500000	50.27000000	44.14000000
0.02000000	22.53000000	20.15000000
0.03000000	7.14100000	6.38200000
0.04000000	3.16900000	2.75700000
0.05000000	1.71400000	1.42500000
0.06000000	1.06000000	0.82940000
0.08000000	0.53060000	0.35580000
0.10000000	0.33670000	0.18940000
0.15000000	0.18380000	0.07085000
0.20000000	0.13910000	0.04421000
0.30000000	0.10620000	0.03196000
0.40000000	0.09133000	0.02932000
0.50000000	0.08192000	0.02827000
0.60000000	0.07509000	0.02760000
0.80000000	0.06537000	0.02647000
1.00000000	0.05852000	0.02541000
1.25000000	0.05224000	0.02416000
1.50000000	0.04769000	0.02307000
2.00000000	0.04162000	0.02149000
3.00000000	0.03524000	0.01989000
4.00000000	0.03213000	0.01933000
5.00000000	0.03045000	0.01920000
6.00000000	0.02952000	0.01930000
8.00000000	0.02875000	0.01973000
10.00000000	0.02871000	0.02025000
15.00000000	0.02951000	0.02127000
20.00000000	0.03068000	0.02193000
