Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3311.00000000	3306.00000000
0.00150000	1083.00000000	1080.00000000
0.00200000	476.90000000	475.50000000
0.00300000	145.60000000	144.70000000
0.00400000	61.66000000	60.94000000
0.00500000	31.44000000	30.86000000
0.00600000	18.09000000	17.59000000
0.00800000	7.56200000	7.17000000
0.01000000	3.87900000	3.54500000
0.01500000	1.23600000	0.97150000
0.02000000	0.61780000	0.38670000
0.03000000	0.30660000	0.10990000
0.04000000	0.22880000	0.05051000
0.05000000	0.19800000	0.03217000
0.06000000	0.18170000	0.02548000
0.08000000	0.16390000	0.02211000
0.10000000	0.15290000	0.02231000
0.15000000	0.13530000	0.02472000
0.20000000	0.12330000	0.02665000
0.30000000	0.10680000	0.02873000
0.40000000	0.09557000	0.02952000
0.50000000	0.08719000	0.02969000
0.60000000	0.08063000	0.02956000
0.80000000	0.07081000	0.02886000
1.00000000	0.06364000	0.02792000
1.25000000	0.05693000	0.02669000
1.50000000	0.05180000	0.02550000
2.00000000	0.04450000	0.02347000
3.00000000	0.03579000	0.02057000
4.00000000	0.03073000	0.01867000
5.00000000	0.02742000	0.01734000
6.00000000	0.02511000	0.01639000
8.00000000	0.02209000	0.01512000
10.00000000	0.02024000	0.01434000
15.00000000	0.01782000	0.01332000
20.00000000	0.01673000	0.01285000
