Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	654.20000000	652.20000000
0.00103542	596.00000000	594.10000000
0.00107210	542.90000000	541.00000000
0.00107210	6435.00000000	6320.00000000
0.00150000	3194.00000000	3151.00000000
0.00200000	1521.00000000	1504.00000000
0.00300000	507.00000000	502.30000000
0.00400000	226.10000000	223.80000000
0.00500000	119.40000000	117.80000000
0.00600000	70.30000000	69.15000000
0.00800000	30.18000000	29.41000000
0.01000000	15.57000000	14.99000000
0.01500000	4.69400000	4.31300000
0.02000000	2.05700000	1.75900000
0.03000000	0.71970000	0.49280000
0.04000000	0.39690000	0.20310000
0.05000000	0.28040000	0.10630000
0.06000000	0.22680000	0.06625000
0.08000000	0.17960000	0.03761000
0.10000000	0.15850000	0.02931000
0.15000000	0.13350000	0.02579000
0.20000000	0.11990000	0.02635000
0.30000000	0.10290000	0.02771000
0.40000000	0.09185000	0.02833000
0.50000000	0.08372000	0.02845000
0.60000000	0.07736000	0.02830000
0.80000000	0.06788000	0.02760000
1.00000000	0.06100000	0.02669000
1.25000000	0.05454000	0.02549000
1.50000000	0.04968000	0.02437000
2.00000000	0.04282000	0.02249000
3.00000000	0.03487000	0.01997000
4.00000000	0.03037000	0.01842000
5.00000000	0.02753000	0.01743000
6.00000000	0.02559000	0.01675000
8.00000000	0.02319000	0.01595000
10.00000000	0.02181000	0.01552000
15.00000000	0.02023000	0.01508000
20.00000000	0.01970000	0.01496000
