Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6627.00000000	6598.00000000
0.00100250	6806.00000000	6776.00000000
0.00100500	6949.00000000	6918.00000000
0.00100500	8554.00000000	8516.00000000
0.00114188	7579.00000000	7547.00000000
0.00129740	5933.00000000	5908.00000000
0.00129740	6833.00000000	6803.00000000
0.00134907	6264.00000000	6236.00000000
0.00140280	5744.00000000	5719.00000000
0.00140280	6093.00000000	6066.00000000
0.00150000	5273.00000000	5250.00000000
0.00157530	4738.00000000	4717.00000000
0.00157530	4951.00000000	4929.00000000
0.00200000	2878.00000000	2864.00000000
0.00300000	1093.00000000	1084.00000000
0.00400000	536.60000000	529.40000000
0.00500000	306.10000000	300.00000000
0.00600000	192.70000000	187.40000000
0.00620790	176.70000000	171.50000000
0.00620790	489.20000000	448.40000000
0.00645960	448.70000000	407.90000000
0.00672150	401.30000000	369.40000000
0.00672150	545.60000000	493.90000000
0.00692080	513.50000000	461.40000000
0.00712600	472.30000000	429.30000000
0.00712600	544.80000000	493.60000000
0.00800000	409.40000000	373.90000000
0.01000000	230.00000000	212.50000000
0.01500000	79.25000000	73.76000000
0.02000000	36.84000000	34.07000000
0.03000000	12.47000000	11.21000000
0.04000000	5.80900000	5.03300000
0.04356890	4.64200000	3.96200000
0.04356890	23.66000000	7.29600000
0.05000000	16.50000000	6.41800000
0.06000000	10.33000000	4.92800000
0.08000000	4.83900000	2.81500000
0.10000000	2.68700000	1.70600000
0.15000000	0.95220000	0.63760000
0.20000000	0.48440000	0.31330000
0.30000000	0.21780000	0.12360000
0.40000000	0.14120000	0.07177000
0.50000000	0.10830000	0.05157000
0.60000000	0.09040000	0.04174000
0.80000000	0.07127000	0.03258000
1.00000000	0.06072000	0.02823000
1.25000000	0.05262000	0.02505000
1.50000000	0.04769000	0.02318000
2.00000000	0.04236000	0.02148000
3.00000000	0.03856000	0.02129000
4.00000000	0.03776000	0.02233000
5.00000000	0.03806000	0.02360000
6.00000000	0.03879000	0.02483000
8.00000000	0.04081000	0.02701000
10.00000000	0.04304000	0.02876000
15.00000000	0.04832000	0.03159000
20.00000000	0.05257000	0.03283000
