Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7409.00000000	7326.00000000
0.00150000	2666.00000000	2645.00000000
0.00200000	1243.00000000	1234.00000000
0.00300000	405.10000000	402.10000000
0.00400000	178.50000000	176.70000000
0.00500000	93.39000000	92.14000000
0.00600000	54.67000000	53.69000000
0.00800000	23.28000000	22.60000000
0.01000000	11.97000000	11.43000000
0.01500000	3.61300000	3.25300000
0.02000000	1.60600000	1.31700000
0.03000000	0.59230000	0.36760000
0.04000000	0.34730000	0.15280000
0.05000000	0.25790000	0.08182000
0.06000000	0.21610000	0.05287000
0.08000000	0.17810000	0.03273000
0.10000000	0.16000000	0.02733000
0.15000000	0.13700000	0.02590000
0.20000000	0.12360000	0.02697000
0.30000000	0.10640000	0.02862000
0.40000000	0.09502000	0.02931000
0.50000000	0.08664000	0.02946000
0.60000000	0.08006000	0.02930000
0.80000000	0.07029000	0.02860000
1.00000000	0.06316000	0.02766000
1.25000000	0.05646000	0.02641000
1.50000000	0.05145000	0.02526000
2.00000000	0.04430000	0.02330000
3.00000000	0.03594000	0.02061000
4.00000000	0.03122000	0.01894000
5.00000000	0.02818000	0.01784000
6.00000000	0.02610000	0.01709000
8.00000000	0.02348000	0.01616000
10.00000000	0.02197000	0.01564000
15.00000000	0.02013000	0.01508000
20.00000000	0.01946000	0.01491000
