Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9855.00000000	9797.00000000
0.00100404	9753.00000000	9697.00000000
0.00100810	9654.00000000	9598.00000000
0.00100810	10990.00000000	10930.00000000
0.00150000	4234.00000000	4214.00000000
0.00200000	2049.00000000	2039.00000000
0.00300000	709.40000000	704.20000000
0.00400000	328.20000000	324.40000000
0.00500000	179.30000000	176.10000000
0.00600000	109.00000000	106.40000000
0.00800000	49.52000000	47.58000000
0.00833280	44.28000000	42.42000000
0.00833280	329.40000000	224.00000000
0.01000000	209.00000000	152.40000000
0.01500000	70.81000000	57.34000000
0.02000000	32.20000000	27.22000000
0.03000000	10.34000000	8.98200000
0.04000000	4.60000000	3.96700000
0.05000000	2.47400000	2.07800000
0.06000000	1.51200000	1.21900000
0.08000000	0.73060000	0.52590000
0.10000000	0.44400000	0.27810000
0.15000000	0.22080000	0.09812000
0.20000000	0.15820000	0.05649000
0.30000000	0.11540000	0.03659000
0.40000000	0.09765000	0.03209000
0.50000000	0.08698000	0.03036000
0.60000000	0.07944000	0.02937000
0.80000000	0.06891000	0.02795000
1.00000000	0.06160000	0.02674000
1.25000000	0.05494000	0.02536000
1.50000000	0.05015000	0.02420000
2.00000000	0.04387000	0.02257000
3.00000000	0.03745000	0.02107000
4.00000000	0.03444000	0.02066000
5.00000000	0.03289000	0.02070000
6.00000000	0.03210000	0.02094000
8.00000000	0.03164000	0.02163000
10.00000000	0.03185000	0.02234000
15.00000000	0.03320000	0.02368000
20.00000000	0.03476000	0.02446000
