Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4590.00000000	4576.00000000
0.00150000	1549.00000000	1545.00000000
0.00200000	694.90000000	692.60000000
0.00300000	217.10000000	215.80000000
0.00400000	93.15000000	92.21000000
0.00500000	47.90000000	47.15000000
0.00600000	27.70000000	27.08000000
0.00800000	11.63000000	11.16000000
0.01000000	5.95200000	5.56500000
0.01500000	1.83600000	1.54500000
0.02000000	0.86510000	0.61790000
0.03000000	0.37790000	0.17290000
0.04000000	0.25850000	0.07530000
0.05000000	0.21320000	0.04414000
0.06000000	0.19070000	0.03207000
0.08000000	0.16780000	0.02468000
0.10000000	0.15510000	0.02355000
0.15000000	0.13610000	0.02506000
0.20000000	0.12370000	0.02679000
0.30000000	0.10700000	0.02877000
0.40000000	0.09566000	0.02953000
0.50000000	0.08729000	0.02971000
0.60000000	0.08070000	0.02957000
0.80000000	0.07087000	0.02887000
1.00000000	0.06372000	0.02794000
1.25000000	0.05697000	0.02669000
1.50000000	0.05185000	0.02551000
2.00000000	0.04459000	0.02350000
3.00000000	0.03597000	0.02066000
4.00000000	0.03100000	0.01882000
5.00000000	0.02777000	0.01757000
6.00000000	0.02552000	0.01668000
8.00000000	0.02263000	0.01553000
10.00000000	0.02089000	0.01483000
15.00000000	0.01866000	0.01396000
20.00000000	0.01770000	0.01360000
