Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6530.00000000	6515.00000000
0.00100334	6490.00000000	6476.00000000
0.00100670	6451.00000000	6437.00000000
0.00100670	6868.00000000	6853.00000000
0.00111018	5755.00000000	5740.00000000
0.00122430	4794.00000000	4780.00000000
0.00122430	4863.00000000	4848.00000000
0.00130316	4311.00000000	4296.00000000
0.00138710	3815.00000000	3801.00000000
0.00138710	3891.00000000	3877.00000000
0.00150000	3327.00000000	3313.00000000
0.00200000	1834.00000000	1821.00000000
0.00300000	755.80000000	744.40000000
0.00344180	554.80000000	544.00000000
0.00344180	1363.00000000	1314.00000000
0.00352548	1266.00000000	1222.00000000
0.00361120	1185.00000000	1144.00000000
0.00361120	1695.00000000	1628.00000000
0.00400000	1315.00000000	1265.00000000
0.00417380	1182.00000000	1139.00000000
0.00417380	1374.00000000	1324.00000000
0.00500000	875.90000000	845.40000000
0.00500090	875.50000000	845.00000000
0.00500090	928.80000000	896.40000000
0.00518067	851.40000000	821.90000000
0.00536690	781.00000000	754.10000000
0.00536690	814.40000000	786.40000000
0.00600000	621.70000000	600.40000000
0.00800000	307.40000000	295.80000000
0.01000000	176.90000000	169.00000000
0.01500000	64.42000000	60.00000000
0.01673310	49.03000000	45.22000000
0.01673310	113.00000000	84.83000000
0.02000000	70.25000000	54.86000000
0.02031370	67.47000000	52.84000000
0.02031370	94.52000000	67.04000000
0.02070540	89.95000000	64.18000000
0.02110460	85.76000000	61.53000000
0.02110460	98.61000000	69.90000000
0.03000000	40.77000000	31.46000000
0.04000000	19.57000000	15.67000000
0.05000000	11.05000000	8.95000000
0.06000000	6.92900000	5.61200000
0.08000000	3.34200000	2.65500000
0.10000000	1.92400000	1.47700000
0.11260100	1.44500000	1.08100000
0.11260100	5.19800000	1.46600000
0.15000000	2.57500000	1.10600000
0.20000000	1.28800000	0.67920000
0.30000000	0.51520000	0.30420000
0.40000000	0.29040000	0.17230000
0.50000000	0.19690000	0.11460000
0.60000000	0.14870000	0.08453000
0.80000000	0.10180000	0.05563000
1.00000000	0.07937000	0.04247000
1.25000000	0.06420000	0.03367000
1.50000000	0.05637000	0.02911000
2.00000000	0.04927000	0.02547000
3.00000000	0.04496000	0.02463000
4.00000000	0.04445000	0.02580000
5.00000000	0.04519000	0.02727000
6.00000000	0.04641000	0.02870000
8.00000000	0.04943000	0.03117000
10.00000000	0.05261000	0.03311000
15.00000000	0.06000000	0.03609000
20.00000000	0.06592000	0.03724000
