Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5210.00000000	5197.00000000
0.00150000	2356.00000000	2344.00000000
0.00200000	1285.00000000	1274.00000000
0.00248400	800.60000000	789.50000000
0.00248400	1397.00000000	1366.00000000
0.00253429	1726.00000000	1682.00000000
0.00258560	1944.00000000	1895.00000000
0.00258560	2458.00000000	2390.00000000
0.00300000	1965.00000000	1913.00000000
0.00306640	1857.00000000	1808.00000000
0.00306640	2146.00000000	2090.00000000
0.00330130	1796.00000000	1748.00000000
0.00355420	1496.00000000	1459.00000000
0.00355420	1585.00000000	1546.00000000
0.00369948	1442.00000000	1405.00000000
0.00385070	1311.00000000	1279.00000000
0.00385070	1368.00000000	1335.00000000
0.00400000	1251.00000000	1221.00000000
0.00500000	730.40000000	712.40000000
0.00600000	467.20000000	454.60000000
0.00800000	228.70000000	220.70000000
0.01000000	130.60000000	124.70000000
0.01303520	67.01000000	62.70000000
0.01303520	162.10000000	129.10000000
0.01500000	111.60000000	91.00000000
0.01520000	107.80000000	88.07000000
0.01520000	148.50000000	113.10000000
0.01552690	141.60000000	108.30000000
0.01586080	134.40000000	103.20000000
0.01586080	154.80000000	118.00000000
0.02000000	86.36000000	68.99000000
0.03000000	30.32000000	25.36000000
0.04000000	14.36000000	12.11000000
0.05000000	8.04100000	6.74000000
0.06000000	5.02100000	4.14900000
0.08000000	2.41900000	1.91600000
0.08800450	1.91000000	1.48200000
0.08800450	7.68300000	2.16000000
0.10000000	5.54900000	1.97600000
0.15000000	2.01400000	1.05600000
0.20000000	0.99850000	0.58700000
0.30000000	0.40310000	0.24550000
0.40000000	0.23230000	0.13700000
0.50000000	0.16140000	0.09128000
0.60000000	0.12480000	0.06819000
0.80000000	0.08870000	0.04644000
1.00000000	0.07102000	0.03654000
1.25000000	0.05876000	0.02988000
1.50000000	0.05222000	0.02640000
2.00000000	0.04606000	0.02360000
3.00000000	0.04234000	0.02322000
4.00000000	0.04197000	0.02449000
5.00000000	0.04272000	0.02600000
6.00000000	0.04391000	0.02744000
8.00000000	0.04675000	0.02989000
10.00000000	0.04972000	0.03181000
15.00000000	0.05658000	0.03478000
20.00000000	0.06206000	0.03595000
