Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5724.00000000	5710.00000000
0.00150000	2604.00000000	2591.00000000
0.00200000	1423.00000000	1411.00000000
0.00268300	748.20000000	736.90000000
0.00268300	2206.00000000	2142.00000000
0.00273990	1941.00000000	1884.00000000
0.00279800	1775.00000000	1726.00000000
0.00279800	2711.00000000	2625.00000000
0.00300000	2155.00000000	2090.00000000
0.00330190	1693.00000000	1645.00000000
0.00330190	1956.00000000	1900.00000000
0.00356733	1622.00000000	1576.00000000
0.00385410	1339.00000000	1303.00000000
0.00385410	1419.00000000	1381.00000000
0.00400000	1299.00000000	1264.00000000
0.00414940	1190.00000000	1158.00000000
0.00414940	1242.00000000	1209.00000000
0.00500000	793.10000000	772.10000000
0.00600000	508.50000000	494.20000000
0.00800000	249.40000000	240.60000000
0.01000000	142.70000000	136.30000000
0.01381380	63.37000000	59.10000000
0.01381380	151.30000000	118.90000000
0.01500000	121.90000000	97.28000000
0.01624430	98.49000000	79.65000000
0.01624430	136.10000000	101.90000000
0.01658820	129.70000000	97.55000000
0.01693930	123.20000000	93.08000000
0.01693930	142.00000000	106.30000000
0.02000000	93.52000000	72.78000000
0.03000000	33.03000000	27.21000000
0.04000000	15.69000000	13.11000000
0.05000000	8.80200000	7.33400000
0.06000000	5.49900000	4.53200000
0.08000000	2.64900000	2.10300000
0.09310500	1.82000000	1.40000000
0.09310500	7.14000000	2.00500000
0.10000000	5.99100000	1.93600000
0.15000000	2.17000000	1.09500000
0.20000000	1.07800000	0.62070000
0.30000000	0.43350000	0.26300000
0.40000000	0.24830000	0.14710000
0.50000000	0.17140000	0.09781000
0.60000000	0.13180000	0.07281000
0.80000000	0.09286000	0.04916000
1.00000000	0.07391000	0.03839000
1.25000000	0.06087000	0.03117000
1.50000000	0.05394000	0.02740000
2.00000000	0.04749000	0.02438000
3.00000000	0.04362000	0.02392000
4.00000000	0.04323000	0.02521000
5.00000000	0.04399000	0.02674000
6.00000000	0.04522000	0.02822000
8.00000000	0.04816000	0.03074000
10.00000000	0.05124000	0.03271000
15.00000000	0.05835000	0.03577000
20.00000000	0.06398000	0.03694000
