Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	10580.00000000	10540.00000000
0.00111454	8122.00000000	8091.00000000
0.00124220	6278.00000000	6254.00000000
0.00124220	7224.00000000	7196.00000000
0.00128892	6661.00000000	6635.00000000
0.00133740	6142.00000000	6118.00000000
0.00133740	6513.00000000	6487.00000000
0.00150000	5090.00000000	5069.00000000
0.00151100	5006.00000000	4986.00000000
0.00151100	5235.00000000	5214.00000000
0.00200000	2768.00000000	2755.00000000
0.00300000	1047.00000000	1038.00000000
0.00400000	513.10000000	506.10000000
0.00500000	292.40000000	286.50000000
0.00596430	186.80000000	181.60000000
0.00596430	521.40000000	480.20000000
0.00600000	514.50000000	473.90000000
0.00644040	431.00000000	398.40000000
0.00644040	585.70000000	533.30000000
0.00663467	545.50000000	497.60000000
0.00683480	506.00000000	462.50000000
0.00683480	583.60000000	531.70000000
0.00800000	395.00000000	363.40000000
0.01000000	220.90000000	205.20000000
0.01500000	75.97000000	70.94000000
0.02000000	35.26000000	32.67000000
0.03000000	11.92000000	10.72000000
0.04000000	5.55700000	4.80300000
0.04199060	4.89200000	4.19200000
0.04199060	25.18000000	7.83300000
0.05000000	15.99000000	6.56700000
0.06000000	9.97700000	4.94200000
0.08000000	4.66400000	2.77300000
0.10000000	2.58800000	1.66700000
0.15000000	0.91800000	0.61720000
0.20000000	0.46870000	0.30250000
0.30000000	0.21260000	0.11950000
0.40000000	0.13890000	0.06980000
0.50000000	0.10710000	0.05047000
0.60000000	0.08976000	0.04107000
0.80000000	0.07105000	0.03229000
1.00000000	0.06070000	0.02811000
1.25000000	0.05268000	0.02503000
1.50000000	0.04779000	0.02320000
2.00000000	0.04244000	0.02152000
3.00000000	0.03858000	0.02131000
4.00000000	0.03774000	0.02233000
5.00000000	0.03800000	0.02359000
6.00000000	0.03870000	0.02481000
8.00000000	0.04067000	0.02697000
10.00000000	0.04288000	0.02872000
15.00000000	0.04809000	0.03155000
20.00000000	0.05226000	0.03277000
