Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3174.00000000	3168.00000000
0.00150000	1219.00000000	1213.00000000
0.00180440	778.20000000	772.60000000
0.00180440	3096.00000000	3040.00000000
0.00183391	2969.00000000	2915.00000000
0.00186390	2861.00000000	2810.00000000
0.00186390	3957.00000000	3880.00000000
0.00200000	3410.00000000	3347.00000000
0.00206510	3153.00000000	3096.00000000
0.00206510	3606.00000000	3540.00000000
0.00300000	1418.00000000	1397.00000000
0.00400000	674.80000000	664.80000000
0.00500000	374.40000000	368.20000000
0.00600000	230.00000000	225.50000000
0.00800000	105.80000000	102.80000000
0.01000000	57.66000000	55.41000000
0.01500000	19.09000000	17.75000000
0.01519970	18.42000000	17.09000000
0.01519970	120.80000000	58.64000000
0.02000000	59.80000000	35.81000000
0.03000000	20.09000000	14.36000000
0.04000000	9.11200000	6.96300000
0.05000000	4.91800000	3.85800000
0.06000000	2.97900000	2.34900000
0.08000000	1.37500000	1.05600000
0.10000000	0.77990000	0.56490000
0.15000000	0.31870000	0.18810000
0.20000000	0.19600000	0.09465000
0.30000000	0.12190000	0.04690000
0.40000000	0.09670000	0.03531000
0.50000000	0.08360000	0.03098000
0.60000000	0.07510000	0.02878000
0.80000000	0.06412000	0.02638000
1.00000000	0.05689000	0.02484000
1.25000000	0.05053000	0.02332000
1.50000000	0.04613000	0.02217000
2.00000000	0.04061000	0.02074000
3.00000000	0.03545000	0.01983000
4.00000000	0.03335000	0.01996000
5.00000000	0.03250000	0.02045000
6.00000000	0.03227000	0.02105000
8.00000000	0.03267000	0.02231000
10.00000000	0.03357000	0.02343000
15.00000000	0.03610000	0.02538000
20.00000000	0.03845000	0.02645000
