Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5718.00000000	5709.00000000
0.00150000	2240.00000000	2233.00000000
0.00200000	1120.00000000	1113.00000000
0.00283790	470.40000000	464.60000000
0.00283790	1644.00000000	1591.00000000
0.00290168	1542.00000000	1492.00000000
0.00296690	1452.00000000	1407.00000000
0.00296690	2317.00000000	2233.00000000
0.00300000	1963.00000000	1894.00000000
0.00322400	1638.00000000	1584.00000000
0.00322400	1874.00000000	1811.00000000
0.00400000	1095.00000000	1063.00000000
0.00500000	616.50000000	600.00000000
0.00600000	383.20000000	373.10000000
0.00800000	178.50000000	173.30000000
0.01000000	98.00000000	94.56000000
0.01500000	32.70000000	30.85000000
0.02000000	14.99000000	13.76000000
0.02211720	11.43000000	10.35000000
0.02211720	68.76000000	27.00000000
0.03000000	31.39000000	16.89000000
0.04000000	14.52000000	9.25100000
0.05000000	7.92600000	5.47700000
0.06000000	4.82200000	3.47600000
0.08000000	2.21500000	1.64100000
0.10000000	1.23200000	0.90120000
0.15000000	0.46470000	0.30370000
0.20000000	0.26180000	0.14750000
0.30000000	0.14400000	0.06445000
0.40000000	0.10740000	0.04355000
0.50000000	0.08992000	0.03567000
0.60000000	0.07933000	0.03182000
0.80000000	0.06647000	0.02796000
1.00000000	0.05846000	0.02581000
1.25000000	0.05166000	0.02393000
1.50000000	0.04710000	0.02262000
2.00000000	0.04164000	0.02115000
3.00000000	0.03692000	0.02052000
4.00000000	0.03527000	0.02098000
5.00000000	0.03482000	0.02176000
6.00000000	0.03491000	0.02259000
8.00000000	0.03591000	0.02419000
10.00000000	0.03730000	0.02556000
15.00000000	0.04084000	0.02783000
20.00000000	0.04387000	0.02893000
