Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5238.00000000	5231.00000000
0.00150000	1858.00000000	1853.00000000
0.00200000	870.60000000	867.20000000
0.00300000	292.20000000	289.60000000
0.00400000	133.20000000	131.10000000
0.00449280	96.87000000	94.90000000
0.00449280	814.80000000	691.10000000
0.00500000	630.50000000	543.60000000
0.00600000	393.30000000	347.40000000
0.00800000	182.80000000	166.10000000
0.01000000	99.52000000	91.75000000
0.01500000	32.02000000	29.88000000
0.02000000	14.09000000	13.11000000
0.03000000	4.40900000	3.97500000
0.04000000	1.96900000	1.67700000
0.05000000	1.08700000	0.85520000
0.06000000	0.69320000	0.49440000
0.08000000	0.37530000	0.21320000
0.10000000	0.25770000	0.11670000
0.15000000	0.16190000	0.04998000
0.20000000	0.13100000	0.03586000
0.30000000	0.10520000	0.02997000
0.40000000	0.09193000	0.02887000
0.50000000	0.08305000	0.02837000
0.60000000	0.07639000	0.02795000
0.80000000	0.06675000	0.02703000
1.00000000	0.05985000	0.02603000
1.25000000	0.05347000	0.02480000
1.50000000	0.04878000	0.02370000
2.00000000	0.04243000	0.02202000
3.00000000	0.03554000	0.02016000
4.00000000	0.03202000	0.01933000
5.00000000	0.02999000	0.01897000
6.00000000	0.02878000	0.01887000
8.00000000	0.02756000	0.01900000
10.00000000	0.02715000	0.01929000
15.00000000	0.02732000	0.02000000
20.00000000	0.02804000	0.02052000
