Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6614.00000000	6600.00000000
0.00108088	5747.00000000	5733.00000000
0.00116830	4976.00000000	4962.00000000
0.00116830	5048.00000000	5034.00000000
0.00124630	4463.00000000	4449.00000000
0.00132950	3937.00000000	3924.00000000
0.00132950	4017.00000000	4003.00000000
0.00150000	3161.00000000	3148.00000000
0.00200000	1742.00000000	1729.00000000
0.00300000	718.00000000	707.00000000
0.00333200	567.10000000	556.50000000
0.00333200	1394.00000000	1346.00000000
0.00341048	1304.00000000	1260.00000000
0.00349080	1226.00000000	1185.00000000
0.00349080	1749.00000000	1683.00000000
0.00400000	1253.00000000	1208.00000000
0.00404610	1217.00000000	1174.00000000
0.00404610	1415.00000000	1364.00000000
0.00442089	1137.00000000	1098.00000000
0.00483040	910.30000000	879.70000000
0.00483040	965.50000000	933.00000000
0.00500000	887.80000000	858.10000000
0.00518230	812.90000000	785.90000000
0.00518230	847.70000000	819.60000000
0.00600000	594.50000000	574.90000000
0.00800000	293.90000000	283.00000000
0.01000000	168.90000000	161.50000000
0.01500000	61.41000000	57.18000000
0.01630030	49.91000000	46.11000000
0.01630030	115.60000000	87.32000000
0.01791660	99.24000000	69.24000000
0.01969320	69.84000000	54.92000000
0.01969320	95.27000000	68.36000000
0.02000000	93.68000000	67.14000000
0.02047210	88.51000000	63.83000000
0.02047210	101.80000000	72.59000000
0.03000000	38.92000000	30.32000000
0.04000000	18.65000000	15.03000000
0.05000000	10.52000000	8.55800000
0.06000000	6.59200000	5.35500000
0.08000000	3.17800000	2.52600000
0.10000000	1.83000000	1.40300000
0.10965100	1.46500000	1.10000000
0.10965100	5.33600000	1.50200000
0.15000000	2.47200000	1.09000000
0.20000000	1.23400000	0.66030000
0.30000000	0.49390000	0.29310000
0.40000000	0.27890000	0.16560000
0.50000000	0.18950000	0.11010000
0.60000000	0.14350000	0.08128000
0.80000000	0.09861000	0.05366000
1.00000000	0.07709000	0.04109000
1.25000000	0.06251000	0.03269000
1.50000000	0.05498000	0.02834000
2.00000000	0.04812000	0.02487000
3.00000000	0.04396000	0.02411000
4.00000000	0.04347000	0.02528000
5.00000000	0.04421000	0.02674000
6.00000000	0.04542000	0.02817000
8.00000000	0.04836000	0.03060000
10.00000000	0.05149000	0.03253000
15.00000000	0.05871000	0.03550000
20.00000000	0.06447000	0.03664000
