Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5008.00000000	4995.00000000
0.00150000	2259.00000000	2247.00000000
0.00200000	1231.00000000	1219.00000000
0.00238930	835.20000000	824.00000000
0.00238930	1136.00000000	1115.00000000
0.00243673	1582.00000000	1546.00000000
0.00248510	2049.00000000	1999.00000000
0.00248510	2364.00000000	2303.00000000
0.00271062	2207.00000000	2150.00000000
0.00295660	1958.00000000	1910.00000000
0.00295660	2267.00000000	2210.00000000
0.00300000	2188.00000000	2135.00000000
0.00341570	1591.00000000	1553.00000000
0.00341570	1687.00000000	1647.00000000
0.00355698	1530.00000000	1495.00000000
0.00370410	1392.00000000	1360.00000000
0.00370410	1452.00000000	1419.00000000
0.00400000	1212.00000000	1185.00000000
0.00500000	706.80000000	690.00000000
0.00600000	451.80000000	439.80000000
0.00800000	220.80000000	213.10000000
0.01000000	126.00000000	120.20000000
0.01265750	69.57000000	65.21000000
0.01265750	169.30000000	135.70000000
0.01363960	147.30000000	112.60000000
0.01469790	113.90000000	93.56000000
0.01469790	157.20000000	120.70000000
0.01500000	149.70000000	115.40000000
0.01534670	141.60000000	109.70000000
0.01534670	163.20000000	125.40000000
0.02000000	83.61000000	67.61000000
0.03000000	29.29000000	24.67000000
0.04000000	13.85000000	11.73000000
0.05000000	7.75100000	6.51300000
0.06000000	4.83800000	4.00300000
0.08000000	2.33200000	1.84400000
0.08553040	1.97600000	1.53900000
0.08553040	8.04600000	2.26400000
0.10000000	5.39800000	2.00700000
0.15000000	1.95700000	1.04400000
0.20000000	0.96960000	0.57530000
0.30000000	0.39230000	0.23930000
0.40000000	0.22670000	0.13340000
0.50000000	0.15800000	0.08897000
0.60000000	0.12260000	0.06661000
0.80000000	0.08751000	0.04557000
1.00000000	0.07031000	0.03600000
1.25000000	0.05832000	0.02955000
1.50000000	0.05187000	0.02616000
2.00000000	0.04581000	0.02345000
3.00000000	0.04210000	0.02309000
4.00000000	0.04175000	0.02437000
5.00000000	0.04248000	0.02587000
6.00000000	0.04366000	0.02731000
8.00000000	0.04647000	0.02975000
10.00000000	0.04943000	0.03167000
15.00000000	0.05622000	0.03463000
20.00000000	0.06162000	0.03578000
