Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6626.00000000	6612.00000000
0.00102220	6375.00000000	6360.00000000
0.00104490	6127.00000000	6112.00000000
0.00104490	6519.00000000	6504.00000000
0.00115314	5446.00000000	5431.00000000
0.00127260	4526.00000000	4511.00000000
0.00127260	4589.00000000	4575.00000000
0.00135409	4065.00000000	4051.00000000
0.00144080	3598.00000000	3584.00000000
0.00144080	3668.00000000	3654.00000000
0.00150000	3382.00000000	3368.00000000
0.00200000	1865.00000000	1852.00000000
0.00300000	769.20000000	757.80000000
0.00355170	525.70000000	515.10000000
0.00355170	1266.00000000	1220.00000000
0.00363859	1188.00000000	1142.00000000
0.00372760	1112.00000000	1072.00000000
0.00372760	1582.00000000	1517.00000000
0.00400000	1329.00000000	1277.00000000
0.00430340	1110.00000000	1068.00000000
0.00430340	1292.00000000	1242.00000000
0.00500000	889.10000000	856.90000000
0.00518220	811.80000000	782.50000000
0.00518220	861.10000000	830.10000000
0.00536198	791.50000000	763.20000000
0.00554800	728.20000000	702.20000000
0.00554800	759.20000000	732.20000000
0.00600000	628.40000000	606.20000000
0.00800000	310.80000000	298.90000000
0.01000000	179.10000000	171.10000000
0.01500000	65.28000000	60.84000000
0.01716630	46.63000000	42.93000000
0.01716630	107.00000000	79.80000000
0.02000000	71.06000000	54.96000000
0.02094760	63.00000000	49.14000000
0.02094760	88.38000000	62.22000000
0.02134870	95.15000000	59.59000000
0.02175740	80.23000000	57.15000000
0.02175740	92.22000000	64.87000000
0.03000000	41.28000000	31.49000000
0.04000000	19.83000000	15.76000000
0.05000000	11.21000000	9.03400000
0.06000000	7.03500000	5.67800000
0.08000000	3.39500000	2.69500000
0.10000000	1.95400000	1.50200000
0.11560600	1.37800000	1.02700000
0.11560600	4.89300000	1.38200000
0.15000000	2.59100000	1.08300000
0.20000000	1.29800000	0.67460000
0.30000000	0.51920000	0.30500000
0.40000000	0.29220000	0.17320000
0.50000000	0.19760000	0.11520000
0.60000000	0.14900000	0.08494000
0.80000000	0.10160000	0.05574000
1.00000000	0.07896000	0.04241000
1.25000000	0.06370000	0.03351000
1.50000000	0.05587000	0.02891000
2.00000000	0.04878000	0.02523000
3.00000000	0.04447000	0.02434000
4.00000000	0.04392000	0.02546000
5.00000000	0.04463000	0.02689000
6.00000000	0.04583000	0.02829000
8.00000000	0.04879000	0.03068000
10.00000000	0.05195000	0.03259000
15.00000000	0.05927000	0.03552000
20.00000000	0.06512000	0.03662000
