Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6495.00000000	6483.00000000
0.00150000	2342.00000000	2336.00000000
0.00200000	1106.00000000	1102.00000000
0.00300000	374.30000000	371.30000000
0.00400000	171.20000000	168.80000000
0.00500000	92.91000000	90.89000000
0.00546510	72.77000000	70.90000000
0.00546510	587.00000000	471.70000000
0.00600000	468.70000000	384.10000000
0.00800000	221.70000000	190.80000000
0.01000000	121.80000000	107.70000000
0.01500000	39.83000000	36.27000000
0.02000000	17.68000000	16.20000000
0.03000000	5.56400000	5.01500000
0.04000000	2.47200000	2.14000000
0.05000000	1.34700000	1.09800000
0.06000000	0.84380000	0.63640000
0.08000000	0.43710000	0.27310000
0.10000000	0.28770000	0.14690000
0.15000000	0.16820000	0.05821000
0.20000000	0.13180000	0.03879000
0.30000000	0.10340000	0.03019000
0.40000000	0.08965000	0.02843000
0.50000000	0.08074000	0.02770000
0.60000000	0.07414000	0.02717000
0.80000000	0.06466000	0.02618000
1.00000000	0.05794000	0.02518000
1.25000000	0.05175000	0.02396000
1.50000000	0.04722000	0.02289000
2.00000000	0.04115000	0.02130000
3.00000000	0.03466000	0.01961000
4.00000000	0.03141000	0.01892000
5.00000000	0.02960000	0.01869000
6.00000000	0.02855000	0.01869000
8.00000000	0.02759000	0.01896000
10.00000000	0.02738000	0.01937000
15.00000000	0.02786000	0.02022000
20.00000000	0.02877000	0.02079000
