Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3017.00000000	3006.00000000
0.00150000	1350.00000000	1340.00000000
0.00152780	1300.00000000	1289.00000000
0.00152780	1965.00000000	1944.00000000
0.00155186	2949.00000000	2914.00000000
0.00157630	3908.00000000	3859.00000000
0.00157630	4540.00000000	4482.00000000
0.00175313	4200.00000000	4146.00000000
0.00194980	3495.00000000	3453.00000000
0.00194980	4054.00000000	4004.00000000
0.00200000	3797.00000000	3751.00000000
0.00217300	3128.00000000	3091.00000000
0.00217300	3323.00000000	3284.00000000
0.00228278	2970.00000000	2935.00000000
0.00239810	2652.00000000	2621.00000000
0.00239810	2769.00000000	2737.00000000
0.00300000	1640.00000000	1620.00000000
0.00400000	819.30000000	807.20000000
0.00500000	471.70000000	462.60000000
0.00600000	298.80000000	291.30000000
0.00800000	144.40000000	138.90000000
0.00894360	108.80000000	103.90000000
0.00894360	282.40000000	244.40000000
0.00944675	251.10000000	213.40000000
0.00997820	212.80000000	186.20000000
0.00997820	290.60000000	245.50000000
0.01000000	289.30000000	244.40000000
0.01048640	257.70000000	218.90000000
0.01048640	297.30000000	251.20000000
0.01500000	119.30000000	104.70000000
0.02000000	56.28000000	50.12000000
0.03000000	19.32000000	17.16000000
0.04000000	9.04000000	7.87500000
0.05000000	5.03800000	4.27300000
0.06000000	3.14700000	2.58400000
0.06133230	2.97500000	2.43200000
0.06133230	13.65000000	3.96400000
0.08000000	6.90900000	3.00800000
0.10000000	3.88100000	2.03800000
0.15000000	1.37800000	0.85540000
0.20000000	0.68600000	0.43810000
0.30000000	0.28820000	0.17370000
0.40000000	0.17490000	0.09741000
0.50000000	0.12740000	0.06671000
0.60000000	0.10250000	0.05159000
0.80000000	0.07710000	0.03754000
1.00000000	0.06397000	0.03107000
1.25000000	0.05439000	0.02658000
1.50000000	0.04895000	0.02413000
2.00000000	0.04347000	0.02208000
3.00000000	0.03989000	0.02191000
4.00000000	0.03944000	0.02314000
5.00000000	0.04002000	0.02457000
6.00000000	0.04101000	0.02593000
8.00000000	0.04347000	0.02826000
10.00000000	0.04609000	0.03010000
15.00000000	0.05218000	0.03302000
20.00000000	0.05700000	0.03419000
