Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4210.00000000	4203.00000000
0.00150000	1631.00000000	1625.00000000
0.00200000	811.50000000	805.70000000
0.00222230	625.80000000	620.10000000
0.00222230	2392.00000000	2335.00000000
0.00226411	2239.00000000	2186.00000000
0.00230670	2120.00000000	2071.00000000
0.00230670	2953.00000000	2878.00000000
0.00241654	2641.00000000	2575.00000000
0.00253160	2359.00000000	2303.00000000
0.00253160	2691.00000000	2627.00000000
0.00300000	1772.00000000	1734.00000000
0.00400000	850.70000000	834.40000000
0.00500000	475.50000000	466.40000000
0.00600000	293.50000000	287.30000000
0.00800000	135.60000000	132.00000000
0.01000000	74.17000000	71.50000000
0.01500000	24.63000000	23.08000000
0.01799760	15.01000000	13.80000000
0.01799760	94.70000000	41.64000000
0.02000000	72.37000000	35.55000000
0.03000000	24.85000000	16.00000000
0.04000000	11.39000000	8.12900000
0.05000000	6.17300000	4.62100000
0.06000000	3.74400000	2.85900000
0.08000000	1.72100000	1.31000000
0.10000000	0.96580000	0.70800000
0.15000000	0.37900000	0.23610000
0.20000000	0.22370000	0.11640000
0.30000000	0.13180000	0.05420000
0.40000000	0.10180000	0.03885000
0.50000000	0.08693000	0.03311000
0.60000000	0.07756000	0.03025000
0.80000000	0.06571000	0.02726000
1.00000000	0.05810000	0.02547000
1.25000000	0.05150000	0.02380000
1.50000000	0.04700000	0.02257000
2.00000000	0.04146000	0.02112000
3.00000000	0.03644000	0.02033000
4.00000000	0.03451000	0.02061000
5.00000000	0.03384000	0.02123000
6.00000000	0.03374000	0.02193000
8.00000000	0.03441000	0.02335000
10.00000000	0.03554000	0.02460000
15.00000000	0.03855000	0.02670000
20.00000000	0.04122000	0.02778000
