Energy (keV),70.txt
0,0
0.1546875,0
0.309375,0.120467095
0.4640625,0.120467095
0.61875,5.196597232
0.7734375,16.32842358
0.928125,33.51594613
1.0828125,56.75916489
1.2375,86.05807986
1.3921875,121.412691
1.546875,190.9669901
1.7015625,247.5928564
1.85625,309.7233879
2.0109375,375.9049063
2.165625,445.2364416
2.3203125,516.8023035
2.475,589.7070446
2.6296875,662.1794408
2.784375,732.6260246
2.9390625,800.3685833
3.09375,864.8552044
3.2484375,925.5957923
3.403125,981.9610718
3.5578125,1033.170647
3.7125,1078.571019
3.8671875,1116.851984
4.021875,1147.801945
4.1765625,1172.781525
4.33125,1193.527654
4.4859375,1211.537752
4.640625,1227.7603
4.7953125,1242.877609
4.95,1257.418064
5.1046875,1273.70785
5.259375,1293.776776
5.4140625,1318.022508
5.56875,1346.789424
5.7234375,1379.980585
5.878125,1417.616191
6.0328125,1460.170076
6.1875,1507.836416
6.3421875,1559.944443
6.496875,1615.30915
6.6515625,1672.497097
6.80625,1729.548352
6.9609375,1786.396711
7.115625,1843.627647
7.2703125,1901.14699
7.425,1959.661371
7.5796875,2019.428069
7.734375,2080.374655
7.8890625,2143.142701
8.04375,2208.535746
8.1984375,2275.760478
8.353125,2343.730261
8.5078125,2411.837603
8.6625,2478.850536
8.8171875,2544.040092
8.971875,2607.176999
9.1265625,2667.762258
9.28125,2725.485409
9.4359375,2780.436407
9.590625,2832.605217
9.7453125,2881.938962
9.9,2928.60477
10.0546875,2972.832355
10.209375,3014.896065
10.3640625,3055.196772
10.51875,3094.220898
10.6734375,3131.857629
10.828125,3167.844118
10.9828125,3202.099854
11.1375,3234.268045
11.2921875,3262.8383
11.446875,3286.969291
11.6015625,3306.89292
11.75625,3322.688484
11.9109375,3336.252965
12.065625,3349.608139
12.2203125,3363.803867
12.375,3380.575616
12.5296875,3402.440591
12.684375,3431.310295
12.8390625,3468.528203
12.99375,3515.37674
13.1484375,3571.822597
13.303125,3637.80876
13.4578125,3713.824828
13.6125,3799.714587
13.7671875,3895.898967
13.921875,4002.124818
14.0765625,4116.64682
14.23125,4237.375232
14.3859375,4363.392872
14.540625,4494.371473
14.6953125,4629.904838
14.85,4770.159213
15.0046875,4913.594727
15.159375,5058.898264
15.3140625,5206.567277
15.46875,5357.241975
15.6234375,5511.091706
15.778125,5667.984996
15.9328125,5827.618097
16.0875,5989.547784
16.2421875,6155.293487
16.396875,6326.482523
16.5515625,6503.603714
16.70625,6687.600331
16.8609375,6877.566339
17.015625,7072.170308
17.1703125,7271.075901
17.325,7473.214581
17.4796875,7677.329217
17.634375,7882.412026
17.7890625,8087.150681
17.94375,8290.087007
18.0984375,8491.28266
18.253125,8691.071823
18.4078125,8889.298601
18.5625,9086.47222
18.7171875,9282.909359
18.871875,9478.749407
19.0265625,9674.618347
19.18125,9871.273529
19.3359375,10068.12598
19.490625,10264.3219
19.6453125,10459.40282
19.8,10652.3345
19.9546875,10842.57785
20.109375,11029.77751
20.2640625,11212.84787
20.41875,11390.77936
20.5734375,11564.18617
20.728125,11733.43219
20.8828125,11894.33136
21.0375,12052.42179
21.1921875,12203.96461
21.346875,12349.09263
21.5015625,12488.12323
21.65625,12621.35939
21.8109375,12749.0852
21.965625,12871.49656
22.1203125,12988.58536
22.275,13100.29753
22.4296875,13207.21337
22.584375,13309.80778
22.7390625,13408.02931
22.89375,13501.8321
23.0484375,13590.93598
23.203125,13675.06626
