Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	6469.00000000	6455.00000000
0.00103923	6034.00000000	6020.00000000
0.00108000	5622.00000000	5608.00000000
0.00108000	5702.00000000	5688.00000000
0.00117069	4905.00000000	4891.00000000
0.00126900	4203.00000000	4190.00000000
0.00126900	4289.00000000	4275.00000000
0.00150000	3082.00000000	3069.00000000
0.00200000	1696.00000000	1683.00000000
0.00300000	698.10000000	687.00000000
0.00321900	595.90000000	585.10000000
0.00321900	1537.00000000	1485.00000000
0.00329373	1404.00000000	1358.00000000
0.00337020	1307.00000000	1264.00000000
0.00337020	1892.00000000	1822.00000000
0.00362962	1564.00000000	1508.00000000
0.00390900	1296.00000000	1252.00000000
0.00390900	1504.00000000	1453.00000000
0.00400000	1426.00000000	1377.00000000
0.00465600	974.50000000	942.80000000
0.00465600	1034.00000000	1000.00000000
0.00500000	868.70000000	840.80000000
0.00500200	867.80000000	839.90000000
0.00500200	905.10000000	876.10000000
0.00600000	582.90000000	564.10000000
0.00800000	287.80000000	277.30000000
0.01000000	165.30000000	158.00000000
0.01500000	60.02000000	55.83000000
0.01587100	52.13000000	48.23000000
0.01587100	121.40000000	92.24000000
0.01740310	104.20000000	73.50000000
0.01908320	74.26000000	58.65000000
0.01908320	103.60000000	74.48000000
0.01945790	107.90000000	71.33000000
0.01984000	94.03000000	68.31000000
0.01984000	108.20000000	77.74000000
0.02000000	106.20000000	76.45000000
0.03000000	38.11000000	30.00000000
0.04000000	18.23000000	14.79000000
0.05000000	10.27000000	8.39600000
0.06000000	6.43300000	5.24200000
0.08000000	3.10000000	2.46500000
0.10000000	1.78600000	1.36700000
0.10675600	1.52500000	1.15000000
0.10675600	5.62200000	1.58200000
0.15000000	2.43400000	1.10000000
0.20000000	1.21300000	0.65810000
0.30000000	0.48590000	0.28960000
0.40000000	0.27490000	0.16320000
0.50000000	0.18720000	0.10850000
0.60000000	0.14210000	0.08018000
0.80000000	0.09804000	0.05311000
1.00000000	0.07686000	0.04080000
1.25000000	0.06251000	0.03258000
1.50000000	0.05504000	0.02831000
2.00000000	0.04822000	0.02490000
3.00000000	0.04409000	0.02419000
4.00000000	0.04363000	0.02539000
5.00000000	0.04438000	0.02688000
6.00000000	0.04560000	0.02832000
8.00000000	0.04856000	0.03079000
10.00000000	0.05171000	0.03275000
15.00000000	0.05895000	0.03575000
20.00000000	0.06473000	0.03692000
