Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1185.00000000	1183.00000000
0.00150000	402.20000000	400.10000000
0.00155960	362.10000000	360.00000000
0.00155960	3957.00000000	3829.00000000
0.00200000	2263.00000000	2204.00000000
0.00300000	788.00000000	773.20000000
0.00400000	360.50000000	354.50000000
0.00500000	193.40000000	190.20000000
0.00600000	115.30000000	113.30000000
0.00800000	50.33000000	49.18000000
0.01000000	26.23000000	25.43000000
0.01500000	7.95500000	7.48700000
0.02000000	3.44100000	3.09400000
0.03000000	1.12800000	0.87780000
0.04000000	0.56850000	0.36010000
0.05000000	0.36810000	0.18400000
0.06000000	0.27780000	0.10990000
0.08000000	0.20180000	0.05511000
0.10000000	0.17040000	0.03794000
0.15000000	0.13780000	0.02827000
0.20000000	0.12230000	0.02745000
0.30000000	0.10420000	0.02816000
0.40000000	0.09276000	0.02862000
0.50000000	0.08445000	0.02868000
0.60000000	0.07802000	0.02851000
0.80000000	0.06841000	0.02778000
1.00000000	0.06146000	0.02686000
1.25000000	0.05496000	0.02565000
1.50000000	0.05006000	0.02451000
2.00000000	0.04324000	0.02266000
3.00000000	0.03541000	0.02024000
4.00000000	0.03106000	0.01882000
5.00000000	0.02836000	0.01795000
6.00000000	0.02655000	0.01739000
8.00000000	0.02437000	0.01678000
10.00000000	0.02318000	0.01650000
15.00000000	0.02195000	0.01631000
20.00000000	0.02168000	0.01633000
