Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	3184.00000000	3180.00000000
0.00150000	1105.00000000	1102.00000000
0.00200000	512.00000000	509.30000000
0.00300000	170.30000000	168.20000000
0.00320290	142.40000000	140.30000000
0.00320290	1275.00000000	1153.00000000
0.00400000	757.20000000	697.90000000
0.00500000	422.50000000	395.30000000
0.00600000	259.30000000	244.90000000
0.00800000	118.00000000	112.50000000
0.01000000	63.16000000	60.38000000
0.01500000	19.83000000	18.86000000
0.02000000	8.62900000	8.07400000
0.03000000	2.69700000	2.38200000
0.04000000	1.22800000	0.99070000
0.05000000	0.70120000	0.50200000
0.06000000	0.46640000	0.29040000
0.08000000	0.27600000	0.12800000
0.10000000	0.20430000	0.07344000
0.15000000	0.14270000	0.03703000
0.20000000	0.12050000	0.02998000
0.30000000	0.09953000	0.02757000
0.40000000	0.08776000	0.02727000
0.50000000	0.07958000	0.02708000
0.60000000	0.07335000	0.02679000
0.80000000	0.06419000	0.02601000
1.00000000	0.05762000	0.02510000
1.25000000	0.05150000	0.02394000
1.50000000	0.04695000	0.02288000
2.00000000	0.04074000	0.02123000
3.00000000	0.03384000	0.01927000
4.00000000	0.03019000	0.01827000
5.00000000	0.02802000	0.01777000
6.00000000	0.02667000	0.01753000
8.00000000	0.02517000	0.01742000
10.00000000	0.02451000	0.01754000
15.00000000	0.02418000	0.01800000
20.00000000	0.02453000	0.01842000
