Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2121.00000000	2116.00000000
0.00115026	1523.00000000	1517.00000000
0.00132310	1092.00000000	1087.00000000
0.00132310	4513.00000000	4459.00000000
0.00134073	4469.00000000	4416.00000000
0.00135860	4452.00000000	4398.00000000
0.00135860	6093.00000000	6015.00000000
0.00150000	5227.00000000	5164.00000000
0.00152650	4997.00000000	4938.00000000
0.00152650	5653.00000000	5585.00000000
0.00200000	2931.00000000	2902.00000000
0.00300000	1049.00000000	1039.00000000
0.00400000	492.00000000	486.20000000
0.00500000	270.90000000	266.70000000
0.00600000	165.60000000	162.20000000
0.00800000	75.73000000	73.30000000
0.01000000	41.15000000	39.28000000
0.01186670	25.77000000	24.25000000
0.01186670	179.20000000	100.80000000
0.01500000	98.56000000	63.71000000
0.02000000	45.64000000	33.10000000
0.03000000	15.06000000	11.98000000
0.04000000	6.76000000	5.53700000
0.05000000	3.63500000	2.98300000
0.06000000	2.20300000	1.78300000
0.08000000	1.03000000	0.78370000
0.10000000	0.59710000	0.41550000
0.15000000	0.26220000	0.13990000
0.20000000	0.17190000	0.07350000
0.30000000	0.11500000	0.04043000
0.40000000	0.09414000	0.03261000
0.50000000	0.08259000	0.02966000
0.60000000	0.07483000	0.02813000
0.80000000	0.06440000	0.02628000
1.00000000	0.05735000	0.02494000
1.25000000	0.05106000	0.02355000
1.50000000	0.04661000	0.02243000
2.00000000	0.04093000	0.02096000
3.00000000	0.03539000	0.01984000
4.00000000	0.03296000	0.01974000
5.00000000	0.03187000	0.02005000
6.00000000	0.03141000	0.02049000
8.00000000	0.03146000	0.02148000
10.00000000	0.03207000	0.02241000
15.00000000	0.03405000	0.02404000
20.00000000	0.03603000	0.02495000
