Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1229.00000000	1228.00000000
0.00150000	376.60000000	375.90000000
0.00200000	159.70000000	159.10000000
0.00300000	46.67000000	46.17000000
0.00400000	19.27000000	18.86000000
0.00500000	9.68300000	9.33200000
0.00600000	5.53800000	5.22300000
0.00800000	2.34600000	2.07200000
0.01000000	1.25500000	1.00600000
0.01500000	0.48270000	0.26980000
0.02000000	0.30140000	0.10840000
0.03000000	0.20630000	0.03506000
0.04000000	0.17930000	0.02084000
0.05000000	0.16650000	0.01737000
0.06000000	0.15830000	0.01680000
0.08000000	0.14720000	0.01785000
0.10000000	0.13910000	0.01940000
0.15000000	0.12430000	0.02255000
0.20000000	0.11360000	0.02453000
0.30000000	0.09862000	0.02654000
0.40000000	0.08834000	0.02731000
0.50000000	0.08065000	0.02749000
0.60000000	0.07460000	0.02737000
0.80000000	0.06549000	0.02671000
1.00000000	0.05890000	0.02586000
1.25000000	0.05266000	0.02472000
1.50000000	0.04791000	0.02362000
2.00000000	0.04108000	0.02171000
3.00000000	0.03284000	0.01889000
4.00000000	0.02798000	0.01698000
5.00000000	0.02476000	0.01562000
6.00000000	0.02248000	0.01461000
8.00000000	0.01945000	0.01322000
10.00000000	0.01755000	0.01232000
15.00000000	0.01495000	0.01104000
20.00000000	0.01368000	0.01039000
