Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2624.00000000	2618.00000000
0.00150000	1002.00000000	996.40000000
0.00154990	925.50000000	920.00000000
0.00154990	4289.00000000	4223.00000000
0.00157278	3838.00000000	3780.00000000
0.00159600	3587.00000000	3534.00000000
0.00159600	5097.00000000	5014.00000000
0.00168644	4595.00000000	4523.00000000
0.00178200	3969.00000000	3910.00000000
0.00178200	4495.00000000	4427.00000000
0.00200000	3407.00000000	3360.00000000
0.00300000	1231.00000000	1216.00000000
0.00400000	581.50000000	574.00000000
0.00500000	321.30000000	316.30000000
0.00600000	196.80000000	193.00000000
0.00800000	90.26000000	87.56000000
0.01000000	49.12000000	47.06000000
0.01347370	21.76000000	20.33000000
0.01347370	147.10000000	76.68000000
0.01500000	111.90000000	63.36000000
0.02000000	52.66000000	35.02000000
0.03000000	17.53000000	13.28000000
0.04000000	7.90000000	6.26700000
0.05000000	4.26400000	3.43100000
0.06000000	2.58200000	2.06800000
0.08000000	1.19800000	0.91850000
0.10000000	0.68610000	0.48900000
0.15000000	0.28990000	0.16340000
0.20000000	0.18380000	0.08378000
0.30000000	0.11860000	0.04360000
0.40000000	0.09563000	0.03398000
0.50000000	0.08328000	0.03036000
0.60000000	0.07515000	0.02851000
0.80000000	0.06443000	0.02640000
1.00000000	0.05728000	0.02496000
1.25000000	0.05094000	0.02350000
1.50000000	0.04650000	0.02237000
2.00000000	0.04089000	0.02092000
3.00000000	0.03552000	0.01991000
4.00000000	0.03327000	0.01995000
5.00000000	0.03229000	0.02036000
6.00000000	0.03194000	0.02090000
8.00000000	0.03218000	0.02207000
10.00000000	0.03293000	0.02314000
15.00000000	0.03521000	0.02507000
20.00000000	0.03738000	0.02618000
