Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4867.00000000	4861.00000000
0.00150000	1714.00000000	1710.00000000
0.00200000	799.90000000	796.60000000
0.00300000	267.60000000	265.00000000
0.00400000	121.80000000	119.70000000
0.00403810	118.70000000	116.60000000
0.00403810	1023.00000000	888.70000000
0.00500000	602.60000000	537.30000000
0.00600000	373.10000000	338.70000000
0.00800000	172.60000000	160.00000000
0.01000000	93.41000000	87.44000000
0.01500000	29.79000000	28.04000000
0.02000000	13.06000000	12.20000000
0.03000000	4.08000000	3.66500000
0.04000000	1.83000000	1.53800000
0.05000000	1.01900000	0.78220000
0.06000000	0.65780000	0.45200000
0.08000000	0.36560000	0.19580000
0.10000000	0.25710000	0.10850000
0.15000000	0.16740000	0.04876000
0.20000000	0.13760000	0.03639000
0.30000000	0.11160000	0.03146000
0.40000000	0.09783000	0.03060000
0.50000000	0.08851000	0.03019000
0.60000000	0.08148000	0.02979000
0.80000000	0.07122000	0.02884000
1.00000000	0.06388000	0.02780000
1.25000000	0.05709000	0.02650000
1.50000000	0.05207000	0.02532000
2.00000000	0.04524000	0.02352000
3.00000000	0.03780000	0.02147000
4.00000000	0.03395000	0.02052000
5.00000000	0.03170000	0.02007000
6.00000000	0.03035000	0.01992000
8.00000000	0.02892000	0.01997000
10.00000000	0.02839000	0.02022000
15.00000000	0.02838000	0.02088000
20.00000000	0.02903000	0.02140000
