Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7350.00000000	7340.00000000
0.00150000	2931.00000000	2922.00000000
0.00200000	1473.00000000	1466.00000000
0.00300000	541.40000000	535.00000000
0.00353750	357.50000000	351.70000000
0.00353750	1152.00000000	1103.00000000
0.00363101	1083.00000000	1036.00000000
0.00372700	1013.00000000	971.50000000
0.00372700	1389.00000000	1324.00000000
0.00400000	1170.00000000	1118.00000000
0.00401800	1157.00000000	1106.00000000
0.00401800	1324.00000000	1264.00000000
0.00500000	768.50000000	738.30000000
0.00600000	479.30000000	461.90000000
0.00800000	225.40000000	217.40000000
0.01000000	124.40000000	119.70000000
0.01500000	41.78000000	39.52000000
0.02000000	19.20000000	17.76000000
0.02671120	8.80900000	7.86300000
0.02671120	50.65000000	18.21000000
0.03000000	37.65000000	15.94000000
0.04000000	17.78000000	9.81200000
0.05000000	9.77900000	6.11500000
0.06000000	5.97500000	4.00100000
0.08000000	2.75100000	1.95700000
0.10000000	1.52400000	1.09600000
0.15000000	0.55930000	0.37530000
0.20000000	0.30380000	0.18130000
0.30000000	0.15710000	0.07580000
0.40000000	0.11290000	0.04868000
0.50000000	0.09250000	0.03838000
0.60000000	0.08064000	0.03339000
0.80000000	0.06670000	0.02854000
1.00000000	0.05826000	0.02597000
1.25000000	0.05129000	0.02387000
1.50000000	0.04673000	0.02247000
2.00000000	0.04139000	0.02099000
3.00000000	0.03698000	0.02051000
4.00000000	0.03559000	0.02114000
5.00000000	0.03536000	0.02206000
6.00000000	0.03563000	0.02300000
8.00000000	0.03691000	0.02477000
10.00000000	0.03853000	0.02625000
15.00000000	0.04253000	0.02869000
20.00000000	0.04587000	0.02985000
