Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9711.00000000	9679.00000000
0.00108876	7991.00000000	7964.00000000
0.00118540	6563.00000000	6541.00000000
0.00118540	7545.00000000	7519.00000000
0.00122832	6984.00000000	6960.00000000
0.00127280	6465.00000000	6442.00000000
0.00127280	6853.00000000	6829.00000000
0.00135222	6031.00000000	6010.00000000
0.00143660	5293.00000000	5273.00000000
0.00143660	5532.00000000	5512.00000000
0.00150000	5033.00000000	5015.00000000
0.00200000	2607.00000000	2595.00000000
0.00300000	985.70000000	977.60000000
0.00400000	481.10000000	474.50000000
0.00500000	274.00000000	268.40000000
0.00572340	194.30000000	189.20000000
0.00572340	545.40000000	504.60000000
0.00600000	490.80000000	455.00000000
0.00616420	455.40000000	422.80000000
0.00616420	618.80000000	566.50000000
0.00635359	575.60000000	527.80000000
0.00654880	533.20000000	489.90000000
0.00654880	614.90000000	563.30000000
0.00800000	373.20000000	345.80000000
0.01000000	208.20000000	194.50000000
0.01500000	71.43000000	66.90000000
0.02000000	33.12000000	30.73000000
0.03000000	11.19000000	10.05000000
0.04000000	5.21500000	4.49600000
0.04044300	5.06600000	4.35900000
0.04044300	26.35000000	8.27200000
0.05000000	15.20000000	6.56900000
0.06000000	9.44700000	4.84700000
0.08000000	4.40900000	2.67700000
0.10000000	2.44500000	1.59700000
0.15000000	0.86870000	0.58620000
0.20000000	0.44520000	0.28650000
0.30000000	0.20390000	0.11340000
0.40000000	0.13420000	0.06664000
0.50000000	0.10410000	0.04851000
0.60000000	0.08757000	0.03970000
0.80000000	0.06962000	0.03145000
1.00000000	0.05961000	0.02750000
1.25000000	0.05181000	0.02456000
1.50000000	0.04701000	0.02281000
2.00000000	0.04177000	0.02118000
3.00000000	0.03792000	0.02096000
4.00000000	0.03705000	0.02194000
5.00000000	0.03727000	0.02316000
6.00000000	0.03792000	0.02434000
8.00000000	0.03981000	0.02645000
10.00000000	0.04194000	0.02816000
15.00000000	0.04699000	0.03094000
20.00000000	0.05103000	0.03216000
