Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2832.00000000	2829.00000000
0.00150000	977.10000000	974.20000000
0.00200000	452.00000000	449.40000000
0.00282240	177.40000000	175.20000000
0.00282240	1637.00000000	1506.00000000
0.00300000	1473.00000000	1361.00000000
0.00400000	703.70000000	662.60000000
0.00500000	390.10000000	371.10000000
0.00600000	238.40000000	228.20000000
0.00800000	107.50000000	103.40000000
0.01000000	57.25000000	55.10000000
0.01500000	17.84000000	17.00000000
0.02000000	7.73900000	7.22700000
0.03000000	2.42500000	2.11400000
0.04000000	1.11700000	0.87560000
0.05000000	0.64830000	0.44330000
0.06000000	0.43950000	0.25700000
0.08000000	0.26960000	0.11480000
0.10000000	0.20500000	0.06745000
0.15000000	0.14800000	0.03639000
0.20000000	0.12660000	0.03067000
0.30000000	0.10540000	0.02898000
0.40000000	0.09311000	0.02887000
0.50000000	0.08453000	0.02874000
0.60000000	0.07795000	0.02847000
0.80000000	0.06826000	0.02767000
1.00000000	0.06128000	0.02671000
1.25000000	0.05478000	0.02549000
1.50000000	0.04994000	0.02436000
2.00000000	0.04328000	0.02258000
3.00000000	0.03585000	0.02043000
4.00000000	0.03188000	0.01931000
5.00000000	0.02950000	0.01871000
6.00000000	0.02798000	0.01839000
8.00000000	0.02628000	0.01819000
10.00000000	0.02549000	0.01824000
15.00000000	0.02496000	0.01861000
20.00000000	0.02520000	0.01899000
