Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9796.00000000	9750.00000000
0.00150000	3697.00000000	3682.00000000
0.00200000	1779.00000000	1771.00000000
0.00300000	612.90000000	608.40000000
0.00400000	283.00000000	279.60000000
0.00500000	154.30000000	151.50000000
0.00600000	93.70000000	91.38000000
0.00770890	47.10000000	45.30000000
0.00770890	355.50000000	250.70000000
0.00800000	324.80000000	232.20000000
0.01000000	184.10000000	141.30000000
0.01500000	62.01000000	51.78000000
0.02000000	28.03000000	24.21000000
0.03000000	8.96200000	7.87300000
0.04000000	3.98100000	3.45000000
0.05000000	2.14400000	1.79900000
0.06000000	1.31400000	1.05200000
0.08000000	0.64140000	0.45280000
0.10000000	0.39490000	0.23970000
0.15000000	0.20230000	0.08597000
0.20000000	0.14760000	0.05071000
0.30000000	0.10940000	0.03406000
0.40000000	0.09311000	0.03034000
0.50000000	0.08315000	0.02890000
0.60000000	0.07604000	0.02805000
0.80000000	0.06604000	0.02677000
1.00000000	0.05906000	0.02564000
1.25000000	0.05270000	0.02434000
1.50000000	0.04810000	0.02323000
2.00000000	0.04204000	0.02165000
3.00000000	0.03580000	0.02016000
4.00000000	0.03283000	0.01971000
5.00000000	0.03127000	0.01969000
6.00000000	0.03045000	0.01988000
8.00000000	0.02991000	0.02048000
10.00000000	0.03002000	0.02110000
15.00000000	0.03115000	0.02230000
20.00000000	0.03256000	0.02303000
