Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7405.00000000	7388.00000000
0.00150000	2694.00000000	2687.00000000
0.00200000	1277.00000000	1272.00000000
0.00300000	433.90000000	430.50000000
0.00400000	198.80000000	196.10000000
0.00500000	108.00000000	105.70000000
0.00598920	65.74000000	63.83000000
0.00598920	597.70000000	402.70000000
0.00600000	516.00000000	402.70000000
0.00800000	251.30000000	208.70000000
0.01000000	138.60000000	119.30000000
0.01500000	45.71000000	40.93000000
0.02000000	20.38000000	18.46000000
0.03000000	6.43400000	5.78000000
0.04000000	2.85600000	2.48200000
0.05000000	1.55000000	1.27800000
0.06000000	0.96390000	0.74200000
0.08000000	0.49050000	0.31820000
0.10000000	0.31660000	0.17010000
0.15000000	0.17880000	0.06536000
0.20000000	0.13780000	0.04211000
0.30000000	0.10670000	0.03160000
0.40000000	0.09213000	0.02938000
0.50000000	0.08281000	0.02849000
0.60000000	0.07598000	0.02788000
0.80000000	0.06620000	0.02680000
1.00000000	0.05930000	0.02576000
1.25000000	0.05295000	0.02450000
1.50000000	0.04832000	0.02340000
2.00000000	0.04213000	0.02178000
3.00000000	0.03559000	0.02011000
4.00000000	0.03235000	0.01947000
5.00000000	0.03057000	0.01929000
6.00000000	0.02956000	0.01933000
8.00000000	0.02869000	0.01970000
10.00000000	0.02855000	0.02016000
15.00000000	0.02920000	0.02112000
20.00000000	0.03026000	0.02174000
