Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9365.00000000	9343.00000000
0.00103199	8775.00000000	8754.00000000
0.00106500	8214.00000000	8194.00000000
0.00106500	8685.00000000	8663.00000000
0.00113851	7576.00000000	7557.00000000
0.00121710	6584.00000000	6567.00000000
0.00121710	6888.00000000	6870.00000000
0.00150000	4335.00000000	4322.00000000
0.00200000	2226.00000000	2216.00000000
0.00300000	831.90000000	824.60000000
0.00400000	405.50000000	399.40000000
0.00500000	230.30000000	225.10000000
0.00501190	229.00000000	223.70000000
0.00501190	667.40000000	624.80000000
0.00518274	618.40000000	576.30000000
0.00535940	564.50000000	529.90000000
0.00535940	769.20000000	714.20000000
0.00553401	714.60000000	661.00000000
0.00571430	655.60000000	610.80000000
0.00571430	754.70000000	701.50000000
0.00600000	671.10000000	625.30000000
0.00800000	321.40000000	302.90000000
0.01000000	179.30000000	169.70000000
0.01500000	61.04000000	57.53000000
0.02000000	28.22000000	26.23000000
0.03000000	9.50700000	8.50200000
0.03598460	5.86300000	5.10200000
0.03598460	31.43000000	10.17000000
0.04000000	23.81000000	9.18500000
0.05000000	13.40000000	6.61800000
0.06000000	8.24800000	4.65300000
0.08000000	3.83600000	2.46400000
0.10000000	2.12400000	1.43800000
0.15000000	0.75890000	0.51540000
0.20000000	0.39410000	0.25020000
0.30000000	0.18630000	0.10000000
0.40000000	0.12570000	0.06003000
0.50000000	0.09912000	0.04463000
0.60000000	0.08431000	0.03717000
0.80000000	0.06789000	0.03014000
1.00000000	0.05854000	0.02671000
1.25000000	0.05108000	0.02408000
1.50000000	0.04641000	0.02246000
2.00000000	0.04121000	0.02091000
3.00000000	0.03725000	0.02064000
4.00000000	0.03625000	0.02153000
5.00000000	0.03635000	0.02268000
6.00000000	0.03689000	0.02380000
8.00000000	0.03860000	0.02583000
10.00000000	0.04057000	0.02750000
15.00000000	0.04529000	0.03026000
20.00000000	0.04910000	0.03152000
