Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2494.00000000	2483.00000000
0.00113794	1953.00000000	1943.00000000
0.00129490	1521.00000000	1511.00000000
0.00129490	2173.00000000	2156.00000000
0.00131356	3293.00000000	3265.00000000
0.00133250	4745.00000000	4704.00000000
0.00133250	5551.00000000	5502.00000000
0.00150000	5550.00000000	5503.00000000
0.00167560	4229.00000000	4194.00000000
0.00167560	4896.00000000	4855.00000000
0.00175674	4382.00000000	4345.00000000
0.00184180	3924.00000000	3892.00000000
0.00184180	4168.00000000	4133.00000000
0.00200000	3467.00000000	3438.00000000
0.00204680	3286.00000000	3259.00000000
0.00204680	3433.00000000	3404.00000000
0.00300000	1405.00000000	1391.00000000
0.00400000	695.30000000	685.80000000
0.00500000	398.80000000	391.30000000
0.00600000	252.00000000	245.60000000
0.00779010	129.90000000	124.90000000
0.00779010	343.70000000	305.10000000
0.00800000	326.90000000	290.60000000
0.00858060	269.50000000	241.00000000
0.00858060	367.20000000	319.80000000
0.00881013	345.20000000	301.30000000
0.00904580	322.80000000	282.60000000
0.00904580	372.50000000	324.50000000
0.01000000	290.20000000	255.40000000
0.01500000	101.60000000	91.87000000
0.02000000	47.65000000	43.28000000
0.03000000	16.25000000	14.56000000
0.04000000	7.58200000	6.61600000
0.05000000	4.22700000	3.56600000
0.05378850	3.50000000	2.91100000
0.05378850	16.76000000	4.96100000
0.06000000	12.59000000	4.55400000
0.08000000	6.01200000	2.99300000
0.10000000	3.36000000	1.92500000
0.15000000	1.18900000	0.76600000
0.20000000	0.59530000	0.38460000
0.30000000	0.25580000	0.15140000
0.40000000	0.15900000	0.08578000
0.50000000	0.11810000	0.05971000
0.60000000	0.09644000	0.04694000
0.80000000	0.07393000	0.03509000
1.00000000	0.06204000	0.02958000
1.25000000	0.05318000	0.02570000
1.50000000	0.04801000	0.02352000
2.00000000	0.04265000	0.02163000
3.00000000	0.03905000	0.02149000
4.00000000	0.03848000	0.02264000
5.00000000	0.03896000	0.02401000
6.00000000	0.03986000	0.02532000
8.00000000	0.04214000	0.02758000
10.00000000	0.04460000	0.02938000
15.00000000	0.05033000	0.03223000
20.00000000	0.05492000	0.03342000
