Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	2748.00000000	2737.00000000
0.00118714	1978.00000000	1967.00000000
0.00140930	1408.00000000	1397.00000000
0.00140930	2069.00000000	2051.00000000
0.00143113	3170.00000000	3138.00000000
0.00145330	4339.00000000	4293.00000000
0.00145330	4952.00000000	4898.00000000
0.00150000	6069.00000000	6003.00000000
0.00181180	3841.00000000	3802.00000000
0.00181180	4452.00000000	4406.00000000
0.00200000	3523.00000000	3488.00000000
0.00200580	3499.00000000	3464.00000000
0.00200580	3717.00000000	3680.00000000
0.00210376	3337.00000000	3304.00000000
0.00220650	2995.00000000	2965.00000000
0.00220650	3127.00000000	3096.00000000
0.00300000	1526.00000000	1510.00000000
0.00400000	758.70000000	748.00000000
0.00500000	435.90000000	427.60000000
0.00600000	275.70000000	268.80000000
0.00800000	133.00000000	127.80000000
0.00835790	119.00000000	114.00000000
0.00835790	312.60000000	274.10000000
0.00879944	279.90000000	241.20000000
0.00926430	239.70000000	212.10000000
0.00926430	327.10000000	280.60000000
0.00950468	308.00000000	265.00000000
0.00975130	288.60000000	249.10000000
0.00975130	333.00000000	285.80000000
0.01000000	312.90000000	269.40000000
0.01500000	110.60000000	98.60000000
0.02000000	52.04000000	46.83000000
0.03000000	17.80000000	15.88000000
0.04000000	8.31500000	7.25300000
0.05000000	4.63400000	3.92200000
0.05748550	3.23200000	2.66400000
0.05748550	15.14000000	4.44200000
0.06000000	13.62000000	4.34900000
0.08000000	6.47800000	3.02800000
0.10000000	3.62800000	1.99500000
0.15000000	1.28500000	0.81410000
0.20000000	0.64150000	0.41250000
0.30000000	0.27240000	0.16290000
0.40000000	0.16720000	0.09173000
0.50000000	0.12300000	0.06329000
0.60000000	0.09968000	0.04934000
0.80000000	0.07569000	0.03638000
1.00000000	0.06317000	0.03040000
1.25000000	0.05392000	0.02620000
1.50000000	0.04860000	0.02388000
2.00000000	0.04317000	0.02190000
3.00000000	0.03958000	0.02176000
4.00000000	0.03907000	0.02295000
5.00000000	0.03961000	0.02435000
6.00000000	0.04056000	0.02569000
8.00000000	0.04294000	0.02799000
10.00000000	0.04549000	0.02981000
15.00000000	0.05141000	0.03268000
20.00000000	0.05613000	0.03387000
