Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	5649.00000000	5615.00000000
0.00150000	1979.00000000	1969.00000000
0.00200000	904.70000000	900.50000000
0.00300000	288.80000000	287.00000000
0.00400000	125.60000000	124.40000000
0.00500000	65.14000000	64.24000000
0.00600000	37.89000000	37.16000000
0.00800000	16.02000000	15.48000000
0.01000000	8.20500000	7.77600000
0.01500000	2.49200000	2.18600000
0.02000000	1.13300000	0.87960000
0.03000000	0.44870000	0.24510000
0.04000000	0.28280000	0.10360000
0.05000000	0.22140000	0.05747000
0.06000000	0.19200000	0.03903000
0.08000000	0.16390000	0.02676000
0.10000000	0.14960000	0.02394000
0.15000000	0.12980000	0.02417000
0.20000000	0.11760000	0.02554000
0.30000000	0.10150000	0.02729000
0.40000000	0.09073000	0.02800000
0.50000000	0.08274000	0.02815000
0.60000000	0.07649000	0.02801000
0.80000000	0.06717000	0.02734000
1.00000000	0.06037000	0.02645000
1.25000000	0.05399000	0.02527000
1.50000000	0.04915000	0.02416000
2.00000000	0.04228000	0.02226000
3.00000000	0.03422000	0.01964000
4.00000000	0.02960000	0.01797000
5.00000000	0.02663000	0.01685000
6.00000000	0.02457000	0.01607000
8.00000000	0.02195000	0.01508000
10.00000000	0.02039000	0.01451000
15.00000000	0.01846000	0.01382000
20.00000000	0.01769000	0.01357000
