Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1697.00000000	1692.00000000
0.00105613	1492.00000000	1487.00000000
0.00111540	1312.00000000	1307.00000000
0.00111540	3990.00000000	3955.00000000
0.00112877	4887.00000000	4842.00000000
0.00114230	5664.00000000	5611.00000000
0.00114230	7405.00000000	7332.00000000
0.00121752	7138.00000000	7070.00000000
0.00129770	6358.00000000	6299.00000000
0.00129770	7206.00000000	7139.00000000
0.00150000	5087.00000000	5044.00000000
0.00200000	2515.00000000	2496.00000000
0.00300000	885.70000000	878.20000000
0.00400000	413.00000000	408.20000000
0.00500000	226.60000000	222.90000000
0.00600000	138.20000000	135.20000000
0.00800000	63.02000000	60.82000000
0.01000000	34.21000000	32.50000000
0.01036710	30.99000000	29.36000000
0.01036710	221.40000000	134.40000000
0.01500000	85.37000000	61.35000000
0.02000000	39.28000000	30.59000000
0.03000000	12.81000000	10.61000000
0.04000000	5.72600000	4.81000000
0.05000000	3.07600000	2.56000000
0.06000000	1.86800000	1.51800000
0.08000000	0.88230000	0.66130000
0.10000000	0.51970000	0.34970000
0.15000000	0.23870000	0.11930000
0.20000000	0.16190000	0.06463000
0.30000000	0.11230000	0.03782000
0.40000000	0.09325000	0.03156000
0.50000000	0.08236000	0.02920000
0.60000000	0.07487000	0.02793000
0.80000000	0.06466000	0.02631000
1.00000000	0.05767000	0.02506000
1.25000000	0.05139000	0.02371000
1.50000000	0.04692000	0.02260000
2.00000000	0.04113000	0.02110000
3.00000000	0.03538000	0.01986000
4.00000000	0.03280000	0.01966000
5.00000000	0.03156000	0.01985000
6.00000000	0.03099000	0.02021000
8.00000000	0.03086000	0.02108000
10.00000000	0.03130000	0.02191000
15.00000000	0.03300000	0.02339000
20.00000000	0.03479000	0.02425000
