Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	1893.00000000	1887.00000000
0.00110304	1502.00000000	1496.00000000
0.00121670	1190.00000000	1185.00000000
0.00121670	4389.00000000	4343.00000000
0.00123215	4734.00000000	4684.00000000
0.00124780	4974.00000000	4922.00000000
0.00124780	6698.00000000	6622.00000000
0.00132844	6348.00000000	6279.00000000
0.00141430	5554.00000000	5495.00000000
0.00141430	6287.00000000	6221.00000000
0.00150000	5475.00000000	5420.00000000
0.00200000	2711.00000000	2688.00000000
0.00300000	961.30000000	952.70000000
0.00400000	449.70000000	444.50000000
0.00500000	247.20000000	243.30000000
0.00600000	150.90000000	147.70000000
0.00800000	68.90000000	66.60000000
0.01000000	37.42000000	35.64000000
0.01110310	28.11000000	26.53000000
0.01110310	198.10000000	115.70000000
0.01500000	91.52000000	62.56000000
0.02000000	42.22000000	31.78000000
0.03000000	13.85000000	11.26000000
0.04000000	6.20700000	5.15200000
0.05000000	3.33500000	2.75900000
0.06000000	2.02300000	1.64200000
0.08000000	0.95010000	0.71840000
0.10000000	0.55500000	0.38030000
0.15000000	0.24910000	0.12880000
0.20000000	0.16610000	0.06865000
0.30000000	0.11310000	0.03891000
0.40000000	0.09327000	0.03193000
0.50000000	0.08212000	0.02930000
0.60000000	0.07452000	0.02790000
0.80000000	0.06426000	0.02618000
1.00000000	0.05727000	0.02489000
1.25000000	0.05101000	0.02353000
1.50000000	0.04657000	0.02242000
2.00000000	0.04086000	0.02094000
3.00000000	0.03524000	0.01977000
4.00000000	0.03275000	0.01962000
5.00000000	0.03158000	0.01987000
6.00000000	0.03107000	0.02027000
8.00000000	0.03103000	0.02120000
10.00000000	0.03156000	0.02208000
15.00000000	0.03340000	0.02364000
20.00000000	0.03528000	0.02452000
