Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	60.84000000	60.45000000
0.00150000	16.76000000	16.38000000
0.00200000	6.86300000	6.50300000
0.00300000	2.00700000	1.68100000
0.00400000	0.93290000	0.63790000
0.00500000	0.57660000	0.30610000
0.00600000	0.41950000	0.16710000
0.00800000	0.29330000	0.06446000
0.01000000	0.24760000	0.03260000
0.01500000	0.20920000	0.01246000
0.02000000	0.19600000	0.00941000
0.03000000	0.18380000	0.01003000
0.04000000	0.17630000	0.01190000
0.05000000	0.17030000	0.01375000
0.06000000	0.16510000	0.01544000
0.08000000	0.15620000	0.01826000
0.10000000	0.14860000	0.02047000
0.15000000	0.13360000	0.02424000
0.20000000	0.12240000	0.02647000
0.30000000	0.10640000	0.02868000
0.40000000	0.09535000	0.02951000
0.50000000	0.08707000	0.02971000
0.60000000	0.08054000	0.02959000
0.80000000	0.07076000	0.02890000
1.00000000	0.06362000	0.02797000
1.25000000	0.05688000	0.02674000
1.50000000	0.05173000	0.02555000
2.00000000	0.04422000	0.02343000
3.00000000	0.03503000	0.02019000
4.00000000	0.02949000	0.01790000
5.00000000	0.02577000	0.01622000
6.00000000	0.02307000	0.01493000
8.00000000	0.01940000	0.01308000
10.00000000	0.01703000	0.01183000
15.00000000	0.01363000	0.00994800
20.00000000	0.01183000	0.00891400
