Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	4830.00000000	4817.00000000
0.00150000	2174.00000000	2161.00000000
0.00200000	1184.00000000	1172.00000000
0.00229490	877.30000000	866.00000000
0.00229490	992.50000000	977.80000000
0.00233947	1407.00000000	1378.00000000
0.00238490	2151.00000000	2101.00000000
0.00238490	2316.00000000	2261.00000000
0.00260577	2257.00000000	2202.00000000
0.00284710	2080.00000000	2030.00000000
0.00284710	2400.00000000	2343.00000000
0.00300000	2117.00000000	2069.00000000
0.00327850	1704.00000000	1666.00000000
0.00327850	1808.00000000	1767.00000000
0.00341712	1638.00000000	1600.00000000
0.00356160	1486.00000000	1454.00000000
0.00356160	1549.00000000	1515.00000000
0.00400000	1179.00000000	1153.00000000
0.00500000	686.90000000	671.00000000
0.00600000	438.70000000	427.20000000
0.00800000	214.00000000	206.50000000
0.01000000	122.10000000	116.40000000
0.01228390	72.66000000	68.21000000
0.01228390	178.00000000	143.70000000
0.01321130	146.40000000	119.70000000
0.01420870	120.90000000	99.88000000
0.01420870	166.30000000	128.90000000
0.01452060	167.40000000	123.30000000
0.01483930	150.10000000	117.30000000
0.01483930	172.80000000	134.00000000
0.01500000	168.10000000	130.70000000
0.02000000	81.23000000	66.47000000
0.03000000	28.41000000	24.10000000
0.04000000	13.42000000	11.41000000
0.05000000	7.50400000	6.32100000
0.06000000	4.68300000	3.87800000
0.08000000	2.25900000	1.78200000
0.08310230	2.05500000	1.60700000
0.08310230	8.46400000	2.38400000
0.10000000	5.27900000	2.04300000
0.15000000	1.90900000	1.03600000
0.20000000	0.94560000	0.56610000
0.30000000	0.38340000	0.23420000
0.40000000	0.22240000	0.13040000
0.50000000	0.15550000	0.08711000
0.60000000	0.12100000	0.06536000
0.80000000	0.08679000	0.04493000
1.00000000	0.06993000	0.03563000
1.25000000	0.05814000	0.02936000
1.50000000	0.05179000	0.02605000
2.00000000	0.04575000	0.02339000
3.00000000	0.04207000	0.02307000
4.00000000	0.04172000	0.02436000
5.00000000	0.04246000	0.02586000
6.00000000	0.04362000	0.02730000
8.00000000	0.04643000	0.02975000
10.00000000	0.04937000	0.03165000
15.00000000	0.05613000	0.03460000
20.00000000	0.06154000	0.03576000
