Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	7809.00000000	7797.00000000
0.00150000	3131.00000000	3122.00000000
0.00200000	1578.00000000	1570.00000000
0.00300000	580.80000000	574.30000000
0.00373010	335.60000000	329.80000000
0.00373010	1046.00000000	998.90000000
0.00383264	993.00000000	946.50000000
0.00393800	931.30000000	890.50000000
0.00393800	1261.00000000	1199.00000000
0.00400000	1231.00000000	1170.00000000
0.00423750	1066.00000000	1016.00000000
0.00423750	1223.00000000	1164.00000000
0.00500000	813.40000000	778.00000000
0.00600000	507.20000000	487.10000000
0.00800000	239.10000000	230.10000000
0.01000000	132.10000000	126.90000000
0.01500000	44.45000000	42.06000000
0.02000000	20.44000000	18.93000000
0.02793990	8.31600000	7.39500000
0.02793990	47.33000000	16.70000000
0.03000000	39.49000000	15.53000000
0.04000000	18.73000000	9.91100000
0.05000000	10.30000000	6.26200000
0.06000000	6.30600000	4.13500000
0.08000000	2.90700000	2.04300000
0.10000000	1.60900000	1.15000000
0.15000000	0.58760000	0.39600000
0.20000000	0.31670000	0.19130000
0.30000000	0.16140000	0.07923000
0.40000000	0.11490000	0.05031000
0.50000000	0.09371000	0.03932000
0.60000000	0.08138000	0.03398000
0.80000000	0.06707000	0.02883000
1.00000000	0.05849000	0.02615000
1.25000000	0.05144000	0.02398000
1.50000000	0.04684000	0.02254000
2.00000000	0.04151000	0.02105000
3.00000000	0.03715000	0.02060000
4.00000000	0.03582000	0.02127000
5.00000000	0.03564000	0.02223000
6.00000000	0.03596000	0.02321000
8.00000000	0.03730000	0.02502000
10.00000000	0.03898000	0.02653000
15.00000000	0.04311000	0.02903000
20.00000000	0.04654000	0.03020000
