Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	9087.00000000	9061.00000000
0.00105991	7988.00000000	7965.00000000
0.00112340	7000.00000000	6979.00000000
0.00112340	8025.00000000	8001.00000000
0.00116320	7447.00000000	7425.00000000
0.00120440	6911.00000000	6890.00000000
0.00120440	7321.00000000	7298.00000000
0.00128045	6440.00000000	6419.00000000
0.00136130	5652.00000000	5634.00000000
0.00136130	5905.00000000	5886.00000000
0.00150000	4772.00000000	4755.00000000
0.00200000	2464.00000000	2453.00000000
0.00300000	926.70000000	919.00000000
0.00400000	453.10000000	446.80000000
0.00500000	257.80000000	252.40000000
0.00548270	203.90000000	198.80000000
0.00548270	576.40000000	535.60000000
0.00568299	530.20000000	493.50000000
0.00589060	484.60000000	451.70000000
0.00589060	654.50000000	602.30000000
0.00600000	631.90000000	581.90000000
0.00626630	565.40000000	522.10000000
0.00626630	651.80000000	600.30000000
0.00800000	352.90000000	329.00000000
0.01000000	196.70000000	184.70000000
0.01500000	67.31000000	63.21000000
0.02000000	31.19000000	28.97000000
0.03000000	10.52000000	9.44400000
0.03892460	5.27100000	4.55400000
0.03892460	27.72000000	8.78500000
0.04000000	25.79000000	8.60800000
0.05000000	14.47000000	6.56000000
0.06000000	8.96200000	4.75600000
0.08000000	4.17700000	2.58700000
0.10000000	2.31500000	1.53200000
0.15000000	0.82390000	0.55760000
0.20000000	0.42390000	0.27180000
0.30000000	0.19610000	0.10790000
0.40000000	0.13010000	0.06382000
0.50000000	0.10150000	0.04677000
0.60000000	0.08570000	0.03849000
0.80000000	0.06843000	0.03073000
1.00000000	0.05876000	0.02700000
1.25000000	0.05110000	0.02418000
1.50000000	0.04640000	0.02249000
2.00000000	0.04122000	0.02090000
3.00000000	0.03737000	0.02068000
4.00000000	0.03646000	0.02161000
5.00000000	0.03664000	0.02280000
6.00000000	0.03726000	0.02395000
8.00000000	0.03907000	0.02602000
10.00000000	0.04113000	0.02769000
15.00000000	0.04603000	0.03043000
20.00000000	0.04996000	0.03163000
