Energy(MeV)	u/rho(cm2/g)	u_en/rho(cm2/g)
0.00100000	233.90000000	233.50000000
0.00150000	66.68000000	66.29000000
0.00200000	27.07000000	26.72000000
0.00300000	7.54900000	7.24900000
0.00400000	3.11400000	2.84000000
0.00500000	1.61900000	1.36400000
0.00600000	0.98750000	0.74770000
0.00800000	0.50540000	0.28880000
0.01000000	0.33950000	0.13870000
0.01500000	0.21760000	0.03910000
0.02000000	0.18560000	0.01885000
0.03000000	0.16440000	0.01138000
0.04000000	0.15510000	0.01131000
0.05000000	0.14880000	0.01237000
0.06000000	0.14380000	0.01361000
0.08000000	0.13560000	0.01588000
0.10000000	0.12890000	0.01776000
0.15000000	0.11580000	0.02098000
0.20000000	0.10600000	0.02290000
0.30000000	0.09210000	0.02481000
0.40000000	0.08249000	0.02552000
0.50000000	0.07532000	0.02569000
0.60000000	0.06968000	0.02559000
0.80000000	0.06121000	0.02499000
1.00000000	0.05503000	0.02419000
1.25000000	0.04921000	0.02312000
1.50000000	0.04476000	0.02210000
2.00000000	0.03830000	0.02028000
3.00000000	0.03043000	0.01753000
4.00000000	0.02572000	0.01561000
5.00000000	0.02257000	0.01422000
6.00000000	0.02030000	0.01316000
8.00000000	0.01725000	0.01167000
10.00000000	0.01529000	0.01066000
15.00000000	0.01252000	0.00918200
20.00000000	0.01109000	0.00838500
